drift,unbalance,type,alg,Recall_0,Recall_1
sea_P(y),1,sudden,improved_OOB,0.27315304262780293,0.14078894155850993
sea_P(y),1,sudden,WEOB1,0.07438563743305468,0.15459339152016047
sea_P(y),1,sudden,OOB,0.15777092731565429,0.13522372189636722
sea_P(y),1,sudden,improved_UOB,-0.2717586309959433,0.14443471876754918
sea_P(y),1,sudden,WEOB2,-0.6956609518481394,0.13514211284089186
sea_P(y),1,sudden,UOB,0.15777092731565429,0.13522372189636722
sea_P(y),1,incremental,improved_OOB,0.32936933683376246,0.2062642842477895
sea_P(y),1,incremental,WEOB1,0.09230469379596169,0.26089964330703713
sea_P(y),1,incremental,OOB,0.2229734997399529,-0.026764572849544924
sea_P(y),1,incremental,improved_UOB,-0.26891186398464206,0.19594241404790427
sea_P(y),1,incremental,WEOB2,-0.6706306631662375,0.1295231607894198
sea_P(y),1,incremental,UOB,0.2229734997399529,-0.026764572849544924
sea_P(y),3,incremental,improved_OOB,0.5230240781715589,-0.6281157849282744
sea_P(y),3,incremental,WEOB1,0.35572604610456304,-0.1259132056128226
sea_P(y),3,incremental,OOB,0.043579295489383434,0.28468213009515625
sea_P(y),3,incremental,improved_UOB,0.04368145254023558,0.06348343647976955
sea_P(y),3,incremental,WEOB2,-0.476975921828441,0.3718842150717257
sea_P(y),3,incremental,UOB,-0.050943818686838074,0.35041989365032183
sea_P(y),3,sudden,improved_OOB,0.489900734965949,-0.6599768835191331
sea_P(y),3,sudden,WEOB1,0.33863727315083,-0.13062015206421818
sea_P(y),3,sudden,OOB,0.07239024389767905,0.27891942886010257
sea_P(y),3,sudden,improved_UOB,0.09393990173473411,0.10379279816376899
sea_P(y),3,sudden,WEOB2,-0.510099265034051,0.2992076171999322
sea_P(y),3,sudden,UOB,-0.026135492896141553,0.34002311648086686
sea_P(y),2,sudden,improved_OOB,0.42969521552422846,0.045958367688022625
sea_P(y),2,sudden,WEOB1,0.2651676782305293,0.11567103474392905
sea_P(y),2,sudden,OOB,0.0491476093193304,0.16264372735943897
sea_P(y),2,sudden,improved_UOB,-0.015507979337359538,0.1467971163371712
sea_P(y),2,sudden,WEOB2,-0.5703047844757715,0.17372705743193997
sea_P(y),2,sudden,UOB,-0.09728143531867313,0.17760134821975002
sea_P(y),2,incremental,improved_OOB,0.49272587409472307,-0.632591893785918
sea_P(y),2,incremental,WEOB1,0.33188645936683103,-0.10929647462100091
sea_P(y),2,incremental,OOB,0.09638199634272156,0.21704829544182025
sea_P(y),2,incremental,improved_UOB,0.035776108492939836,0.06899506102047527
sea_P(y),2,incremental,WEOB2,-0.507274125905277,0.36740810621408204
sea_P(y),2,incremental,UOB,-0.07575067620975297,0.33854387448134743
sea_P(y),4,incremental,improved_OOB,0.5220879982479747,-0.6609606021556992
sea_P(y),4,incremental,WEOB1,0.37094107240368224,-0.13518320258176733
sea_P(y),4,incremental,OOB,0.008692775390100074,0.29275259492929084
sea_P(y),4,incremental,improved_UOB,0.0969922058046708,0.10988251550289037
sea_P(y),4,incremental,WEOB2,-0.44163857524436345,0.33903939784430087
sea_P(y),4,incremental,UOB,-0.07916347484998264,0.3189256560070424
sea_P(y),4,sudden,improved_OOB,0.48514281665856956,-0.6716072757863043
sea_P(y),4,sudden,WEOB1,0.3407495824968777,-0.13159235914113518
sea_P(y),4,sudden,OOB,-0.001023600453219847,0.32839272421369564
sea_P(y),4,sudden,improved_UOB,0.11645623471417135,0.008431401353953559
sea_P(y),4,sudden,WEOB2,-0.41828532477050573,0.2555155777457418
sea_P(y),4,sudden,UOB,-0.008182525304474208,0.29448073122881163
sea_P(y_x),1,sudden,improved_OOB,0.08569138033498278,0.14650179743227779
sea_P(y_x),1,sudden,WEOB1,0.048605484423953224,0.142959200142129
sea_P(y_x),1,sudden,OOB,0.03439411967944821,0.19830149614271
sea_P(y_x),1,sudden,improved_UOB,-0.3048971710907217,0.13014545318579188
sea_P(y_x),1,sudden,WEOB2,-0.22686447018371186,0.045756998364443975
sea_P(y_x),1,sudden,UOB,-0.3184646715819769,0.13803355858993618
sea_P(y_x),1,incremental,improved_OOB,0.09997812973946259,0.12441489155560029
sea_P(y_x),1,incremental,WEOB1,0.058508067042514274,0.13495230879137
sea_P(y_x),1,incremental,OOB,0.03437256025615296,0.1778345690309254
sea_P(y_x),1,incremental,improved_UOB,-0.2899726552893788,0.13809214481784607
sea_P(y_x),1,incremental,WEOB2,-0.2584596789658547,0.07947969559092011
sea_P(y_x),1,incremental,UOB,-0.32221321139144976,0.16739182118241155
sea_P(y_x),3,incremental,improved_OOB,0.15605965881262765,0.1159079811270727
sea_P(y_x),3,incremental,WEOB1,0.08164609013093513,0.13920793691416486
sea_P(y_x),3,incremental,OOB,-0.07923579213538491,0.3335281994853452
sea_P(y_x),3,incremental,improved_UOB,-0.11781852836501545,0.12923894790846094
sea_P(y_x),3,incremental,WEOB2,0.09081894639260438,-0.4495286296174595
sea_P(y_x),3,incremental,UOB,-0.5657351874178813,0.3658227820912074
sea_P(y_x),3,sudden,improved_OOB,0.14692555411711483,0.14894287451580104
sea_P(y_x),3,sudden,WEOB1,0.08760020883776175,0.14669436399422944
sea_P(y_x),3,sudden,OOB,-0.10747248349514157,0.402227132282912
sea_P(y_x),3,sudden,improved_UOB,-0.11292094872316051,0.10979519789093604
sea_P(y_x),3,sudden,WEOB2,0.11006655398887999,-0.5465500141138477
sea_P(y_x),3,sudden,UOB,-0.562099442362733,0.33666331314705916
sea_P(y_x),2,sudden,improved_OOB,0.06967084399131893,0.14642222307255642
sea_P(y_x),2,sudden,WEOB1,0.009121554891269971,0.1569053092804884
sea_P(y_x),2,sudden,OOB,0.00565580297774217,0.1948676971350369
