drift,unbalance,type,alg,mean,std
sea_P(y_x),1,sudden,improved_UOB,61.98413367823448,0.0
sea_P(y_x),1,sudden,WEOB2,61.43358522896673,0.0
sea_P(y_x),1,sudden,UOB,62.014441313778164,1.4210854715202004e-14
sea_P(y_x),1,sudden,CSMOTE,61.0480321300498,0.0
sea_P(y_x),1,sudden,RebalanceStream,55.95967503866681,0.0
sea_P(y_x),1,incremental,improved_OOB,63.390590062854,0.0
sea_P(y_x),1,incremental,WEOB1,63.33871261093236,0.0
sea_P(y_x),1,incremental,OOB,63.65189038348458,0.0
sea_P(y_x),1,incremental,ESOS_ELM,60.09462192222558,0.055707292697551085
sea_P(y_x),1,incremental,improved_UOB,62.149007062642475,0.0
sea_P(y_x),1,incremental,WEOB2,61.71113312324068,0.0
sea_P(y_x),1,incremental,UOB,62.308710119952345,0.0
sea_P(y_x),1,incremental,CSMOTE,60.92249385958485,0.0
sea_P(y_x),1,incremental,RebalanceStream,56.159043481072956,0.0
sea_P(y_x),3,incremental,improved_OOB,64.03796350701904,1.4210854715202004e-14
sea_P(y_x),3,incremental,WEOB1,63.9545374247282,0.0
sea_P(y_x),3,incremental,OOB,64.17477256120152,0.0
sea_P(y_x),3,incremental,ESOS_ELM,60.32608516237677,0.027854866779565092
sea_P(y_x),3,incremental,improved_UOB,63.52655165470942,1.4210854715202004e-14
sea_P(y_x),3,incremental,WEOB2,62.30077330893486,7.105427357601002e-15
sea_P(y_x),3,incremental,UOB,63.28667129814139,0.0
sea_P(y_x),3,incremental,CSMOTE,63.44295615171192,7.105427357601002e-15
sea_P(y_x),3,incremental,RebalanceStream,62.47627871677944,0.0
sea_P(y_x),3,sudden,improved_OOB,64.00416372956147,0.0
sea_P(y_x),3,sudden,WEOB1,63.883551415548574,0.0
sea_P(y_x),3,sudden,OOB,64.21475160664808,0.0
sea_P(y_x),3,sudden,ESOS_ELM,60.19562462799426,0.09118377451569354
sea_P(y_x),3,sudden,improved_UOB,63.38994338332768,0.0
sea_P(y_x),3,sudden,WEOB2,61.957002688330746,1.4210854715202004e-14
sea_P(y_x),3,sudden,UOB,63.146542419006764,0.0
sea_P(y_x),3,sudden,CSMOTE,63.53477261763591,0.0
sea_P(y_x),3,sudden,RebalanceStream,62.47396701187141,0.0
sea_P(y_x),2,sudden,improved_OOB,64.00450705155751,0.0
sea_P(y_x),2,sudden,WEOB1,63.877742299695434,0.0
sea_P(y_x),2,sudden,OOB,64.14914692160153,0.0
sea_P(y_x),2,sudden,ESOS_ELM,60.066733519181675,0.1047924480262247
sea_P(y_x),2,sudden,improved_UOB,63.13420838441581,7.105427357601002e-15
sea_P(y_x),2,sudden,WEOB2,61.81625156771819,0.0
sea_P(y_x),2,sudden,UOB,62.88944886569484,0.0
sea_P(y_x),2,sudden,CSMOTE,62.79959442303971,0.0
sea_P(y_x),2,sudden,RebalanceStream,58.43655576279688,7.105427357601002e-15
sea_P(y_x),2,incremental,improved_OOB,64.03737124640068,1.4210854715202004e-14
sea_P(y_x),2,incremental,WEOB1,63.914591785923236,0.0
sea_P(y_x),2,incremental,OOB,64.3060751062001,1.4210854715202004e-14
sea_P(y_x),2,incremental,ESOS_ELM,60.29045976089765,0.04155190260349105
sea_P(y_x),2,incremental,improved_UOB,63.20921075154521,0.0
sea_P(y_x),2,incremental,WEOB2,62.31004521301975,0.0
sea_P(y_x),2,incremental,UOB,62.92722233121181,1.4210854715202004e-14
sea_P(y_x),2,incremental,CSMOTE,62.40054618743922,0.0
sea_P(y_x),2,incremental,RebalanceStream,58.78554154673176,0.0
