ds,alg,Gmean,Gmean_Mean,Gmean_Perc
KDDCup,improved_OOB,70.13436198045461,0.28731436239283425,0.004113478982876062
KDDCup,WEOB1,70.34998488321021,0.5029372651484323,0.0072005515236464035
KDDCup,OOB,69.60489060875975,-0.24215700930203354,-0.003466961275531588
KDDCup,ESOS_ELM,70.71067811865476,0.8636305005929756,0.012364595642116338
KDDCup,improved_UOB,69.1833604584767,-0.6636871595850806,-0.00950200734631279
KDDCup,WEOB2,69.01556124987272,-0.8314863681890614,-0.011904388181670944
KDDCup,UOB,69.32321376120015,-0.5238338568616285,-0.0074997279731287
KDDCup,CSMOTE,70.04109120106502,0.19404358300323565,0.0027781214757180983
KDDCup,RebalanceStream,70.26028630086215,0.4132386828003689,0.00591633715228812
PAKDD,improved_OOB,54.27216606868876,0.133242797866302,0.0024611275920611853
PAKDD,WEOB1,54.99446906377858,0.8555457929561214,0.015802785524129614
PAKDD,OOB,54.60671033853637,0.4677870677139069,0.00864049448072457
PAKDD,ESOS_ELM,55.986587674649954,1.847664403827494,0.03412820743746248
PAKDD,improved_UOB,54.779638083154325,0.6407148123318649,0.011834642686312291
PAKDD,WEOB2,54.9059001195774,0.7669768487549433,0.01416682864042662
PAKDD,UOB,54.11448745428176,-0.02443581654070215,-0.0004513539439723324
PAKDD,CSMOTE,53.51804639832485,-0.620876872497611,-0.011468216118591057
PAKDD,RebalanceStream,50.07230423641015,-4.066619034412312,-0.07511451629855315
Elec,improved_OOB,66.63018673988167,1.7429837733253635,0.026861749214613484
Elec,WEOB1,66.07826315706629,1.1910601905099867,0.018355856564257644
Elec,OOB,67.09087664716381,2.2036736806075083,0.03396160690950589
Elec,ESOS_ELM,61.499664728738864,-3.387538237817438,-0.05220656898346221
Elec,improved_UOB,64.84626213144934,-0.04094083510696578,-0.000630953920576105
Elec,WEOB2,63.927974412077866,-0.959228554478436,-0.014783015920301512
Elec,UOB,65.53469724979941,0.6474942832431054,0.009978767054835691
Elec,CSMOTE,64.61646091071256,-0.27074205584374056,-0.0041725031048616135
Elec,RebalanceStream,63.76044072211687,-1.1267622444394334,-0.01736493781401216
