drift,unbalance,type,alg,Gmean
sea_P(y_x),1,sudden,improved_UOB,1.0053572350311493
sea_P(y_x),1,sudden,WEOB2,0.9964275649065368
sea_P(y_x),1,sudden,UOB,1.0058488124536669
sea_P(y_x),1,sudden,CSMOTE,0.9901740517172264
sea_P(y_x),1,sudden,RebalanceStream,0.9076429858996481
sea_P(y_x),1,incremental,improved_OOB,1.027334433870359
sea_P(y_x),1,incremental,WEOB1,1.02649368617188
sea_P(y_x),1,incremental,OOB,1.0315691762303683
sea_P(y_x),1,incremental,improved_UOB,1.0072128201204213
sea_P(y_x),1,incremental,WEOB2,1.000116451792001
sea_P(y_x),1,incremental,UOB,1.0098010347088346
sea_P(y_x),1,incremental,CSMOTE,0.9873354338104288
sea_P(y_x),1,incremental,RebalanceStream,0.9101369632957068
sea_P(y_x),3,incremental,improved_OOB,1.0100615109535773
sea_P(y_x),3,incremental,WEOB1,1.0087456434569104
sea_P(y_x),3,incremental,OOB,1.0122193803237445
sea_P(y_x),3,incremental,improved_UOB,1.0019950859772926
sea_P(y_x),3,incremental,WEOB2,0.9826610619043453
sea_P(y_x),3,incremental,UOB,0.9982114879030561
sea_P(y_x),3,incremental,CSMOTE,1.0006765462323908
sea_P(y_x),3,incremental,RebalanceStream,0.9854292832486826
sea_P(y_x),3,sudden,improved_OOB,1.0107156823051817
sea_P(y_x),3,sudden,WEOB1,1.0088110443855764
sea_P(y_x),3,sudden,OOB,1.0140411607970832
sea_P(y_x),3,sudden,improved_UOB,1.0010162799514146
sea_P(y_x),3,sudden,WEOB2,0.9783881328457635
sea_P(y_x),3,sudden,UOB,0.9971726367039717
sea_P(y_x),3,sudden,CSMOTE,1.0033033370714808
sea_P(y_x),3,sudden,RebalanceStream,0.9865517259395283
sea_P(y_x),2,sudden,improved_OOB,1.0218088975146251
sea_P(y_x),2,sudden,WEOB1,1.0197851439180297
sea_P(y_x),2,sudden,OOB,1.0241180209335006
sea_P(y_x),2,sudden,improved_UOB,1.0079148928179844
sea_P(y_x),2,sudden,WEOB2,0.986874187032111
sea_P(y_x),2,sudden,UOB,1.0040073952759907
sea_P(y_x),2,sudden,CSMOTE,1.00257290146898
sea_P(y_x),2,sudden,RebalanceStream,0.9329185610387786
sea_P(y_x),2,incremental,improved_OOB,1.0207383157131984
sea_P(y_x),2,incremental,WEOB1,1.0187812444397744
sea_P(y_x),2,incremental,OOB,1.0250213823028924
sea_P(y_x),2,incremental,improved_UOB,1.0075376622165655
sea_P(y_x),2,incremental,WEOB2,0.9932052075970542
sea_P(y_x),2,incremental,UOB,1.0030428433378482
sea_P(y_x),2,incremental,CSMOTE,0.9946477685642102
sea_P(y_x),2,incremental,RebalanceStream,0.9370255758284562
sea_P(y_x),4,incremental,improved_OOB,1.0066980936236447
sea_P(y_x),4,incremental,WEOB1,1.0062989516083924
sea_P(y_x),4,incremental,OOB,1.0093822516129143
sea_P(y_x),4,incremental,improved_UOB,1.0037606836998578
sea_P(y_x),4,incremental,WEOB2,0.975054297858292
sea_P(y_x),4,incremental,UOB,1.0009980975750274
sea_P(y_x),4,incremental,CSMOTE,1.0003936902115207
sea_P(y_x),4,incremental,RebalanceStream,0.9974139338103507
sea_P(y_x),4,sudden,improved_OOB,1.0065506753837197
sea_P(y_x),4,sudden,WEOB1,1.0058017477369348
sea_P(y_x),4,sudden,OOB,1.0111744983094972
sea_P(y_x),4,sudden,improved_UOB,1.0026395586054941
