drift,unbalance,type,alg,F1_0,F1_1
sea_P(y),1,sudden,improved_OOB,0.32571052120309435,0.3070006721517836
sea_P(y),1,sudden,WEOB1,0.1772642522079138,0.1661368709477358
sea_P(y),1,sudden,OOB,0.19334604789099374,0.26650457005544603
sea_P(y),1,sudden,improved_UOB,-0.21537739039622636,-0.313147355362195
sea_P(y),1,sudden,WEOB2,-0.6742894787969056,-0.6929993278482164
sea_P(y),1,sudden,UOB,0.19334604789099374,0.26650457005544603
sea_P(y),1,incremental,improved_OOB,0.3454251126486077,0.32672935572524936
sea_P(y),1,incremental,WEOB1,0.15537251812223363,0.1203185810620396
sea_P(y),1,incremental,OOB,0.19729178326540248,0.29677190013304755
sea_P(y),1,incremental,improved_UOB,-0.2408063099501077,-0.36732109277863345
sea_P(y),1,incremental,WEOB2,-0.6545748873513924,-0.6732706442747506
sea_P(y),1,incremental,UOB,0.19729178326540248,0.29677190013304755
sea_P(y),3,incremental,improved_OOB,0.35661867470318254,0.3341462330351611
sea_P(y),3,incremental,WEOB1,0.32152302379867187,0.39864965487881965
sea_P(y),3,incremental,OOB,0.044188903829805525,0.06822040350491351
sea_P(y),3,incremental,improved_UOB,-0.012778357125759903,-0.06267384774009686
sea_P(y),3,incremental,WEOB2,-0.6433813252968175,-0.6013503451211804
sea_P(y),3,incremental,UOB,-0.06617091990914283,-0.1369920985575827
sea_P(y),3,sudden,improved_OOB,0.30675140583324034,0.22556297177440238
sea_P(y),3,sudden,WEOB1,0.29309762244764376,0.330729576971517
sea_P(y),3,sudden,OOB,0.07473354907378588,0.10761421109984223
sea_P(y),3,sudden,improved_UOB,0.0590893701172241,0.10376423218870282
sea_P(y),3,sudden,WEOB2,-0.6932485941667597,-0.669270423028483
sea_P(y),3,sudden,UOB,-0.0404233533052943,-0.0984005690060118
sea_P(y),2,sudden,improved_OOB,0.31777862104725224,0.3507510780260469
sea_P(y),2,sudden,WEOB1,0.2869762396216704,0.35565837169119774
sea_P(y),2,sudden,OOB,0.12054649048119893,0.16737756433022427
sea_P(y),2,sudden,improved_UOB,0.00978206689214646,-0.009247793099837956
sea_P(y),2,sudden,WEOB2,-0.6822213789527477,-0.6443416283088023
sea_P(y),2,sudden,UOB,-0.052862039089505715,-0.22019759263884103
sea_P(y),2,incremental,improved_OOB,0.3442043787872136,0.39936096012250705
sea_P(y),2,incremental,WEOB1,0.30496215355836703,0.37860597157937154
sea_P(y),2,incremental,OOB,0.1061202703045974,0.1360742801416595
sea_P(y),2,incremental,improved_UOB,-0.0015518512218872273,-0.04246277469361852
sea_P(y),2,incremental,WEOB2,-0.6557956212127863,-0.6006390398774929
sea_P(y),2,incremental,UOB,-0.097939330215518,-0.2709393972724899
sea_P(y),4,incremental,improved_OOB,0.3516891155921902,0.1724106759930995
sea_P(y),4,incremental,WEOB1,0.3499460133566239,0.4013090937621975
sea_P(y),4,incremental,OOB,0.0014538239243789724,0.050069735321782174
sea_P(y),4,incremental,improved_UOB,0.05973828208179953,0.11381971324844965
sea_P(y),4,incremental,WEOB2,-0.6483108844078098,-0.5986909062378025
sea_P(y),4,incremental,UOB,-0.11451635054723283,-0.1389183120877263
sea_P(y),4,sudden,improved_OOB,0.3284969242671058,0.1484713265290783
sea_P(y),4,sudden,WEOB1,0.32514976602266066,0.36321555759323226
sea_P(y),4,sudden,OOB,-0.009737085514495274,0.047688035166767076
sea_P(y),4,sudden,improved_UOB,0.05802850108140256,0.0781901066436952
sea_P(y),4,sudden,WEOB2,-0.6715030757328941,-0.6367844424067677
sea_P(y),4,sudden,UOB,-0.030435030123763515,-0.0007805835260475751
sea_P(y_x),1,sudden,improved_OOB,0.4937476216900297,0.5219687793216247
sea_P(y_x),1,sudden,WEOB1,0.41501151416498844,0.34939269343761153
sea_P(y_x),1,sudden,OOB,0.39548332398037495,0.49509574069455103
sea_P(y_x),1,sudden,improved_UOB,-0.4761764617923185,-0.4388189530643767
sea_P(y_x),1,sudden,WEOB2,-0.3218136197331078,-0.47803122067837533
sea_P(y_x),1,sudden,UOB,-0.5062523783099703,-0.4496070397110353
sea_P(y_x),1,incremental,improved_OOB,0.5067025654121813,0.5175886454240647
sea_P(y_x),1,incremental,WEOB1,0.42642310225224467,0.3586845681213282
sea_P(y_x),1,incremental,OOB,0.37183787598012275,0.4644718064442899
sea_P(y_x),1,incremental,improved_UOB,-0.4303941933430449,-0.4242574619970484
sea_P(y_x),1,incremental,WEOB2,-0.38127191571368163,-0.48241135457593537
sea_P(y_x),1,incremental,UOB,-0.4932974345878188,-0.4340762034166979
sea_P(y_x),3,incremental,improved_OOB,0.3684265049415547,0.3635434432964172
sea_P(y_x),3,incremental,WEOB1,0.273525272156109,0.27599120168480223
sea_P(y_x),3,incremental,OOB,0.1561211756110855,0.32161795897301687
sea_P(y_x),3,incremental,improved_UOB,-0.05653314671681152,-0.02972647538621574
sea_P(y_x),3,incremental,WEOB2,-0.10996631093348858,-0.6364565567035828
sea_P(y_x),3,incremental,UOB,-0.6315734950584453,-0.2949695718644353
sea_P(y_x),3,sudden,improved_OOB,0.3756213960183083,0.3379980792427652
sea_P(y_x),3,sudden,WEOB1,0.29083482019980467,0.2537150644235446
sea_P(y_x),3,sudden,OOB,0.1644726258768317,0.3311155680453827
sea_P(y_x),3,sudden,improved_UOB,-0.052191152634780656,-0.023219865569853653
sea_P(y_x),3,sudden,WEOB2,-0.1543590854784723,-0.6620019207572349
sea_P(y_x),3,sudden,UOB,-0.6243786039816918,-0.23760692538461223
sea_P(y_x),2,sudden,improved_OOB,0.39795920381898703,0.44308474954638133
sea_P(y_x),2,sudden,WEOB1,0.2834882580605043,0.30066485109836855
sea_P(y_x),2,sudden,OOB,0.30312783582447944,0.4072311347363446
sea_P(y_x),2,sudden,improved_UOB,-0.2369237266136117,-0.18864716166142412
sea_P(y_x),2,sudden,WEOB2,-0.14561077490931654,-0.5569152504536187
sea_P(y_x),2,sudden,UOB,-0.602040796181013,-0.40541832326605015
sea_P(y_x),2,incremental,improved_OOB,0.36327868294600085,0.46995778355833573
sea_P(y_x),2,incremental,WEOB1,0.25077468352125715,0.304925153839284
sea_P(y_x),2,incremental,OOB,0.28033883333531556,0.4655771775402173
sea_P(y_x),2,incremental,improved_UOB,-0.12520595588182656,-0.20156387499220194
sea_P(y_x),2,incremental,WEOB2,-0.1324649268667379,-0.5088540235039632
sea_P(y_x),2,incremental,UOB,-0.6367213170539991,-0.5300422164416643
sea_P(y_x),4,incremental,improved_OOB,0.3729621829278531,0.18164831635749326
sea_P(y_x),4,incremental,WEOB1,0.3003657667681381,0.16978506366028961
sea_P(y_x),4,incremental,OOB,0.2282371566035052,0.2530223041954944
sea_P(y_x),4,incremental,improved_UOB,0.06036171554941412,0.10175001199618496
sea_P(y_x),4,incremental,WEOB2,-0.6270378170721469,-0.7469776958045056
sea_P(y_x),4,incremental,UOB,-0.3348890047767228,0.040771999595045336
sea_P(y_x),4,sudden,improved_OOB,0.3319479383774619,0.16371028868494372
sea_P(y_x),4,sudden,WEOB1,0.2937773910591084,0.14745695628695657
sea_P(y_x),4,sudden,OOB,0.250615208822681,0.25095321740328486
sea_P(y_x),4,sudden,improved_UOB,0.11019802972565405,0.08337129971359199
sea_P(y_x),4,sudden,WEOB2,-0.668052061622538,-0.7490467825967151
sea_P(y_x),4,sudden,UOB,-0.3184865063623673,0.10355502050793801
sea_P(x_y),1,sudden,improved_OOB,0.5297760911326462,0.5530287607113493
sea_P(x_y),1,sudden,WEOB1,0.2905635775967456,0.2704464155013721
sea_P(x_y),1,sudden,OOB,0.4313779347044605,0.4174521316766988
sea_P(x_y),1,sudden,improved_UOB,-0.3207898526592625,-0.34991882518584977
sea_P(x_y),1,sudden,WEOB2,-0.460703841907243,-0.44403724341491857
sea_P(x_y),1,sudden,UOB,-0.4702239088673538,-0.44697123928865073
sea_P(x_y),1,incremental,improved_OOB,0.47553202461149896,0.4785320104095437
sea_P(x_y),1,incremental,WEOB1,0.23818712096616676,0.21061248137350014
sea_P(x_y),1,incremental,OOB,0.39884867664438206,0.40498121477077653
sea_P(x_y),1,incremental,improved_UOB,-0.33759482303285254,-0.37846822278459347
sea_P(x_y),1,incremental,WEOB2,-0.2505050238007016,-0.1941894941787694
sea_P(x_y),1,incremental,UOB,-0.5244679753885011,-0.5214679895904563
sea_P(x_y),3,incremental,improved_OOB,0.45350488038129116,0.4798328779126034
sea_P(x_y),3,incremental,WEOB1,0.26086653470622323,0.31475082435873614
sea_P(x_y),3,incremental,OOB,0.20160754796129446,0.33144582762586927
sea_P(x_y),3,incremental,improved_UOB,-0.07915119984908997,-0.0967998270936063
sea_P(x_y),3,incremental,WEOB2,-0.2903326435810253,-0.5090625807162158
sea_P(x_y),3,incremental,UOB,-0.5464951196187089,-0.5201671220873966
sea_P(x_y),3,sudden,improved_OOB,0.4181658029115037,0.40426142106566426
sea_P(x_y),3,sudden,WEOB1,0.22213101320278925,0.22637073742561573
sea_P(x_y),3,sudden,OOB,0.21438388308775702,0.46544664252600626
sea_P(x_y),3,sudden,improved_UOB,-0.11872295850994438,-0.21061959518669496
sea_P(x_y),3,sudden,WEOB2,-0.15412354360359629,-0.35090584835659755
sea_P(x_y),3,sudden,UOB,-0.5818341970884964,-0.5345533574739938
sea_P(x_y),2,sudden,improved_OOB,0.5264259517925407,0.46695920687557274
sea_P(x_y),2,sudden,WEOB1,0.22443558518463425,0.2376491829351835
sea_P(x_y),2,sudden,OOB,0.25433516842804815,0.36094555897521924
sea_P(x_y),2,sudden,improved_UOB,-0.14857510787133135,-0.13747188189474538
sea_P(x_y),2,sudden,WEOB2,-0.3830475493264174,-0.5330407931244273
sea_P(x_y),2,sudden,UOB,-0.4735740482074593,-0.3950412737668054
sea_P(x_y),2,incremental,improved_OOB,0.49194756790881783,0.4994805204610377
sea_P(x_y),2,incremental,WEOB1,0.2525776731641322,0.2637228578952949
sea_P(x_y),2,incremental,OOB,0.29733919729144453,0.32894656336787803
sea_P(x_y),2,incremental,improved_UOB,-0.2108868401633767,-0.24146690360498113
sea_P(x_y),2,incremental,WEOB2,-0.3229251661098251,-0.3501635585802599
sea_P(x_y),2,incremental,UOB,-0.5080524320911821,-0.5005194795389623
sea_P(x_y),4,incremental,improved_OOB,0.41222673925821474,0.2783879349101158
sea_P(x_y),4,incremental,WEOB1,0.32036302507079767,0.23670269798559213
