drift,unbalance,type,alg,Time,Mem,Time_mean,Mem_mean,Time_%,Mem_%
sea_P(y),1,sudden,improved_OOB,5.8243717577,540098969.6,-44.094887268025005,-1292674406.4,-0.8833241544170655,-0.7053105546640154
sea_P(y),1,sudden,WEOB1,9.9850783251,505999769.6,-39.93418070062501,-1326773606.4,-0.7999754299246636,-0.7239158009244238
sea_P(y),1,sudden,OOB,6.1082860376,608969932.8,-43.810972988125,-1223803443.2,-0.8776366845819525,-0.6677330974061466
sea_P(y),1,sudden,ESOS_ELM,342.4281187911,7187554304.0,292.508859765375,5354780928.0,5.859639455277887,2.9216819701335512
sea_P(y),1,sudden,improved_UOB,3.8888245697,402339840.0,-46.030434456025006,-1430433536.0,-0.9220977104709034,-0.7804748556102988
sea_P(y),1,sudden,WEOB2,4.294476851599999,382759321.6,-45.624782174125,-1450014054.4,-0.9139715425385838,-0.7911584014629423
sea_P(y),1,sudden,UOB,5.9726602011,616685568.0,-43.946598824625006,-1216087808.0,-0.8803535886215359,-0.663523283306359
sea_P(y),1,sudden,RebalanceStream,20.8522556719,4417779302.4,-29.067003353825005,2585005926.3999996,-0.5822803447231827,1.4104340232406343
sea_P(y),1,incremental,improved_OOB,5.8587660498,543391334.4,-51.35252043987501,-1148179786.4727273,-0.8975942264319238,-0.678765304222237
sea_P(y),1,incremental,WEOB1,10.2658293481,562321817.6,-46.945457141575005,-1129249303.2727275,-0.8205628648124756,-0.6675742387290917
sea_P(y),1,incremental,OOB,6.055675560399999,546195865.6,-51.15561092927501,-1145375255.2727275,-0.8941524315924468,-0.6771073596254098
sea_P(y),1,incremental,ESOS_ELM,335.1285003525,5979182545.454545,277.917213862825,4287611424.5818176,4.857734040170222,2.534691785450749
sea_P(y),1,incremental,improved_UOB,3.8659917238999997,343708392.72727275,-53.345294765775,-1347862728.1454546,-0.9324260655352035,-0.7968111488271659
sea_P(y),1,incremental,WEOB2,4.291780018000001,388201267.2,-52.91950647167501,-1303369853.6727273,-0.9249836827428353,-0.7705084566590872
sea_P(y),1,incremental,UOB,5.9205772183,543836569.6,-51.29070927137501,-1147734551.2727275,-0.8965138247788136,-0.6785020961344977
sea_P(y),1,incremental,RebalanceStream,86.3031716464,4625731174.4,29.091885156725,2934160053.527272,0.5084990557234761,1.7345768187467399
sea_P(y),3,incremental,improved_OOB,6.8540009179,493485056.0,-41.6254532897625,-1296015450.7636366,-0.8586205016141316,-0.7242330727849404
sea_P(y),3,incremental,WEOB1,12.3218776161,738852864.0,-36.1575765915625,-1050647642.7636366,-0.7458329963180063,-0.5871178235449417
sea_P(y),3,incremental,OOB,7.821808040500001,620413337.6,-40.6576461671625,-1169087169.1636367,-0.8386572586606449,-0.6533036256457756
sea_P(y),3,incremental,ESOS_ELM,308.53045292269996,6755877273.6,260.05099871503745,4966376766.836364,5.364148647406486,2.775286594256517
sea_P(y),3,incremental,improved_UOB,4.8469665992,556530073.6,-43.6324876084625,-1232970433.1636367,-0.9000201904411311,-0.6890025616106135
sea_P(y),3,incremental,WEOB2,4.7257565248999995,403048038.4,-43.7536976827625,-1386452468.3636365,-0.9025204263922373,-0.7747706486381923
sea_P(y),3,incremental,UOB,5.4350421182,490249122.90909094,-43.0444120894625,-1299251383.8545456,-0.8878897832694462,-0.7260413612311736
sea_P(y),3,incremental,RebalanceStream,37.2997289218,4257548288.0,-11.179725285862496,2468047781.2363634,-0.23060749071088893,1.3791824991991195
sea_P(y),3,sudden,improved_OOB,6.9064261364999995,608318668.8,-41.72727689315,-1246753764.0727274,-0.8579909464782184,-0.6720782121386117
sea_P(y),3,sudden,WEOB1,12.2865767893,717924538.1818181,-36.34712624035,-1137147894.6909094,-0.7473649748239535,-0.6129937971909514
sea_P(y),3,sudden,OOB,7.6725631995,627970457.6,-40.96113983015,-1227101975.2727275,-0.8422377338854425,-0.661484669562181
sea_P(y),3,sudden,ESOS_ELM,325.3116502468,7030934732.8,276.67794721715,5175862299.927273,5.689016669129034,2.7901133175226143
sea_P(y),3,sudden,improved_UOB,4.8035329774,468210073.6,-43.83017005225,-1386862359.2727275,-0.901230367457903,-0.7476055029964843
sea_P(y),3,sudden,WEOB2,4.7253230554,395402444.8,-43.90837997425,-1459669988.0727274,-0.902838509900857,-0.7868533660501397
sea_P(y),3,sudden,UOB,5.4605106052,567685939.2,-43.17319242445,-1287386493.6727273,-0.8877216772518649,-0.6939817933034058
sea_P(y),3,sudden,RebalanceStream,21.903041227099997,4424132608.0,-26.730661802550003,2569060175.1272726,-0.5496324593307937,1.384884023719159
sea_P(y),2,sudden,improved_OOB,7.0373525158,524979882.6666667,-43.1211402737625,-1318484735.2242424,-0.8596976877809135,-0.7152210692997778
sea_P(y),2,sudden,WEOB1,12.1130345915,657908456.7272727,-38.045458198062505,-1185556161.1636364,-0.7585048130867958,-0.6431130544398624
sea_P(y),2,sudden,OOB,7.629483178699999,632277401.6,-42.5290096108625,-1211187216.2909093,-0.847892495280727,-0.6570167957314077
sea_P(y),2,sudden,ESOS_ELM,338.6757910912,7097879347.2,288.5172983016375,5254414729.309091,5.752112598600155,2.85029323498523
sea_P(y),2,sudden,improved_UOB,4.3587582844999995,383126869.3333333,-45.7997345050625,-1460337748.557576,-0.9131002938468076,-0.7921702073285978
sea_P(y),2,sudden,WEOB2,4.685576138500001,559484108.8,-45.4729166510625,-1283980509.0909092,-0.9065845906064581,-0.6965040156614991
sea_P(y),2,sudden,UOB,5.1355200353,592853401.6,-45.022972754262504,-1250611216.2909093,-0.8976141476809157,-0.6784026143782038
sea_P(y),2,sudden,RebalanceStream,21.632426481,4299207475.2,-28.526066308562502,2455742857.3090906,-0.5687185703175375,1.332134521854118
sea_P(y),2,incremental,improved_OOB,6.9860858744,568591825.4545455,-58.92553792557501,-1246878906.181818,-0.8940082875882258,-0.686807495408065
sea_P(y),2,incremental,WEOB1,11.819651554200002,518034152.72727275,-54.091972245775004,-1297436578.9090908,-0.8206742472303575,-0.7146557398585293
sea_P(y),2,incremental,OOB,7.834044860299999,491558912.0,-58.07757893967501,-1323911819.6363635,-0.8811431973808697,-0.7292388671245962
sea_P(y),2,incremental,ESOS_ELM,341.0443992981,7108729241.6,275.132775498125,5293258509.963636,4.1742679005008725,2.9156396838150016
sea_P(y),2,incremental,improved_UOB,4.4019966888,432989388.8,-61.50962711117501,-1382481342.8363636,-0.9332136513256154,-0.7615002096950758
sea_P(y),2,incremental,WEOB2,4.6955904902,423308902.4,-61.21603330977501,-1392161829.2363634,-0.9287592958648702,-0.766832428073102
sea_P(y),2,incremental,UOB,5.0253980693,474500002.90909094,-60.886225730675,-1340970728.7272725,-0.923755511098455,-0.7386352780904359
sea_P(y),2,incremental,RebalanceStream,145.4858235645,4506053427.2,79.574199764525,2690582695.5636363,1.207286289987521,1.482030334434803
sea_P(y),4,incremental,improved_OOB,6.7350230172,622266777.6,-41.567192473925,-874308410.1818184,-0.8605649254652203,-0.5842061376666906
sea_P(y),4,incremental,WEOB1,13.0805389137,527939025.45454544,-35.221676577425,-968636162.3272729,-0.7291938106627137,-0.6472352142647495
sea_P(y),4,incremental,OOB,7.893182895200001,623016345.6,-40.409032595925,-873558842.1818184,-0.8365875599091249,-0.5837052821092021
sea_P(y),4,incremental,ESOS_ELM,300.72938115039994,4486550869.333333,252.42716565927495,2989975681.5515146,5.225995600670857,1.9978786939419813
sea_P(y),4,incremental,improved_UOB,5.2243273657,433999530.6666667,-43.077888125425,-1062575657.1151516,-0.8918408335398216,-0.7100048602904285
sea_P(y),4,incremental,WEOB2,4.630333800000001,496502784.0,-43.671881691124995,-1000072403.7818184,-0.9041382728945264,-0.6682406683917415
sea_P(y),4,incremental,UOB,5.7361578055,524924108.8,-42.566057685625,-971651078.9818184,-0.8812444160754085,-0.6492497583245198
sea_P(y),4,incremental,RebalanceStream,42.3887789813,4257402060.8,-5.913436509824997,2760826873.018182,-0.12242578212404209,1.8447632271053496
sea_P(y),4,sudden,improved_OOB,6.739726116199999,464306806.15384614,-40.75895079833751,-1350348057.7790213,-0.8581070767860224,-0.7441349231844767
sea_P(y),4,sudden,WEOB1,12.8621044848,783056896.0,-34.636572429737505,-1031597967.9328673,-0.7292113102867628,-0.5684816371621788
sea_P(y),4,sudden,OOB,7.631143235000001,630462464.0,-39.8675336795375,-1184192399.9328673,-0.8393398778511154,-0.6525716947444151
sea_P(y),4,sudden,ESOS_ELM,310.4380203391,6565255168.0,262.9393434245625,4750600304.067133,5.5357193190382725,2.6179084510711013
sea_P(y),4,sudden,improved_UOB,5.2622891245000005,569542246.4,-42.236387790037504,-1245112617.5328674,-0.8892118798599753,-0.6861429367534707
sea_P(y),4,sudden,WEOB2,4.753293686000001,411102822.4,-42.745383228537506,-1403552041.5328674,-0.899927871789936,-0.7734539880994094
sea_P(y),4,sudden,UOB,5.6899130042,500853666.90909094,-41.808763910337504,-1313801197.0237763,-0.8802090210967848,-0.7239950820049603
sea_P(y),4,sudden,RebalanceStream,26.612925326500005,4592658841.6,-20.8857515880375,2778003977.6671333,-0.43971228136767704,1.5308718108778092
sea_P(y_x),1,sudden,improved_OOB,7.248307669900001,628782694.4,-41.54641426526528,-802919851.4424244,-0.8514530387214625,-0.5608147123674914
sea_P(y_x),1,sudden,WEOB1,9.749841904899998,614505676.8,-39.044880030265276,-817196869.0424244,-0.8001865464495351,-0.5707867681143081
sea_P(y_x),1,sudden,OOB,8.096454817222222,488529175.27272725,-40.698267117943054,-943173370.5696971,-0.834071094247034,-0.658777462754826
sea_P(y_x),1,sudden,ESOS_ELM,333.92580430460004,5758316953.6,285.13108236943475,4326614407.757576,5.843482062430754,3.0220065056961705
sea_P(y_x),1,sudden,improved_UOB,2.4260184854999998,346000384.0,-46.368703449665276,-1085702161.8424244,-0.9502811289974454,-0.7583294204478691
sea_P(y_x),1,sudden,WEOB2,4.559922831499999,476373811.2,-44.23479910366528,-955328734.6424243,-0.9065488509687815,-0.667267609055135
sea_P(y_x),1,sudden,UOB,2.733837517,285833898.6666667,-46.06088441816528,-1145868647.1757576,-0.9439726796551374,-0.8003538517852674
sea_P(y_x),1,sudden,RebalanceStream,21.6175879507,2855277772.8,-27.17713398446528,1423575226.9575758,-0.5569687233913576,0.9943233188287262
sea_P(y_x),1,incremental,improved_OOB,6.909826450199999,626176409.6,-41.510938533025,-972842632.5333334,-0.8572962147005762,-0.6083996543502159
sea_P(y_x),1,incremental,WEOB1,9.448291769399999,546922086.4,-38.972473213825,-1052096955.7333335,-0.8048710760213457,-0.6579639941808804
sea_P(y_x),1,incremental,OOB,7.7810609288,627590348.8,-40.639704054424996,-971428693.3333335,-0.8393032218409666,-0.6075154002151848
sea_P(y_x),1,incremental,ESOS_ELM,331.6676649313,7198774476.8,283.246899948075,5599755434.666667,5.849698988568308,3.5019942146503427
sea_P(y_x),1,incremental,improved_UOB,2.4675159553,290940245.3333333,-45.953249027925,-1308078796.8000002,-0.949040128627566,-0.8180507938509757
sea_P(y_x),1,incremental,WEOB2,4.5148644849999995,366640742.4,-43.905900498225,-1232378299.7333336,-0.9067576795500001,-0.7707089579678515
sea_P(y_x),1,incremental,UOB,2.7417283009,291065173.3333333,-45.679036682325,-1307953868.8000002,-0.9433770139350369,-0.8179726659508643
sea_P(y_x),1,incremental,RebalanceStream,21.8351670449,2844042854.4,-26.585597938324998,1245023812.2666667,-0.5490536538928159,0.7786172518656291
sea_P(y_x),3,incremental,improved_OOB,6.406488566099999,472707413.3333333,-42.04962481377499,-1061784100.4606061,-0.8677878162477478,-0.6919452410886312
