ds,alg,Time,Mem
KDDCup,improved_OOB,-185.41446630561424,-351994220.76437867
KDDCup,WEOB1,-155.7512092984142,-621210858.4371059
KDDCup,OOB,-181.48619080871424,-351994220.76437867
KDDCup,ESOS_ELM,1047.9327146426856,3443168154.549907
KDDCup,improved_UOB,-216.68602470351422,-748378998.0734695
KDDCup,WEOB2,-126.82756979641424,-621210858.4371059
KDDCup,UOB,-181.76725373001423,-748378998.0734695
PAKDD,improved_OOB,-17.061574271485718,-449232246.2049948
PAKDD,WEOB1,-13.114869897885718,-555595796.4595404
PAKDD,OOB,-15.185896280385718,-449232246.2049948
PAKDD,ESOS_ELM,109.52531325721432,3455476447.725075
PAKDD,improved_UOB,-22.437475824985718,-722910181.1980019
PAKDD,WEOB2,-19.133409851785718,-555595796.4595404
PAKDD,UOB,-22.59208713068572,-722910181.1980019
Elec,improved_OOB,-20.44902765067143,-740208778.3064936
Elec,WEOB1,-17.427539957271428,-523429207.10649365
Elec,OOB,-18.98208489057143,-740208778.3064936
Elec,ESOS_ELM,119.71775630702857,3875023268.238961
Elec,improved_UOB,-22.00957081197143,-673873648.7064936
Elec,WEOB2,-20.595509444971427,-523429207.10649365
Elec,UOB,-20.25402355157143,-673873648.7064936
