instances,drift,unbalance,type,alg,KappaT
50000,sea_P(y),1,sudden,WEOB2,97.56213112779542
55000,sea_P(y),1,sudden,WEOB2,94.7212741751991
60000,sea_P(y),1,sudden,WEOB2,94.951950254381
65000,sea_P(y),1,sudden,WEOB2,94.65432565168113
70000,sea_P(y),1,sudden,WEOB2,94.7860583734769
75000,sea_P(y),1,sudden,WEOB2,94.89547438548126
80000,sea_P(y),1,sudden,WEOB2,94.72546393724892
85000,sea_P(y),1,sudden,WEOB2,94.62600690448792
90000,sea_P(y),1,sudden,WEOB2,94.82837202677682
95000,sea_P(y),1,sudden,WEOB2,94.97302722368586
100000,sea_P(y),1,sudden,WEOB2,94.98927159796726
5000,sea_P(y),1,sudden,UOB,93.47774244833069
10000,sea_P(y),1,sudden,UOB,95.28560095200316
15000,sea_P(y),1,sudden,UOB,96.1776061776062
20000,sea_P(y),1,sudden,UOB,96.69041645760163
25000,sea_P(y),1,sudden,UOB,97.01827508816929
30000,sea_P(y),1,sudden,UOB,97.25860452658364
35000,sea_P(y),1,sudden,UOB,97.4768983527521
40000,sea_P(y),1,sudden,UOB,97.68636500451488
45000,sea_P(y),1,sudden,UOB,97.8244037023852
50000,sea_P(y),1,sudden,UOB,97.92829325089333
55000,sea_P(y),1,sudden,UOB,96.02957906712172
60000,sea_P(y),1,sudden,UOB,97.0152628603731
65000,sea_P(y),1,sudden,UOB,97.13260294673216
70000,sea_P(y),1,sudden,UOB,97.54321337489372
75000,sea_P(y),1,sudden,UOB,97.84975878704341
80000,sea_P(y),1,sudden,UOB,97.99693897072892
85000,sea_P(y),1,sudden,UOB,98.09962189709024
90000,sea_P(y),1,sudden,UOB,98.17832217632815
95000,sea_P(y),1,sudden,UOB,98.27374231589513
100000,sea_P(y),1,sudden,UOB,98.35121400338791
5000,sea_P(y),1,sudden,CSMOTE,93.08426073131956
10000,sea_P(y),1,sudden,CSMOTE,94.6846489488298
15000,sea_P(y),1,sudden,CSMOTE,95.45999201171615
20000,sea_P(y),1,sudden,CSMOTE,95.90566984445559
25000,sea_P(y),1,sudden,CSMOTE,96.20070535428023
30000,sea_P(y),1,sudden,CSMOTE,96.26355966251508
35000,sea_P(y),1,sudden,CSMOTE,96.4529644722493
40000,sea_P(y),1,sudden,CSMOTE,96.6790408347547
45000,sea_P(y),1,sudden,CSMOTE,96.86721253114989
50000,sea_P(y),1,sudden,CSMOTE,96.98076845866625
55000,sea_P(y),1,sudden,CSMOTE,95.79067121729238
60000,sea_P(y),1,sudden,CSMOTE,95.5342001130582
65000,sea_P(y),1,sudden,CSMOTE,95.12655836796371
70000,sea_P(y),1,sudden,CSMOTE,95.6361575517143
75000,sea_P(y),1,sudden,CSMOTE,95.88789340684582
80000,sea_P(y),1,sudden,CSMOTE,95.75282188635933
85000,sea_P(y),1,sudden,CSMOTE,95.79155022192994
90000,sea_P(y),1,sudden,CSMOTE,95.94074918102831
95000,sea_P(y),1,sudden,CSMOTE,95.9729017689123
100000,sea_P(y),1,sudden,CSMOTE,96.11518915866745
5000,sea_P(y),1,sudden,RebalanceStream,93.12400635930047
10000,sea_P(y),1,sudden,RebalanceStream,94.86314954383181
15000,sea_P(y),1,sudden,RebalanceStream,95.57981626947144
20000,sea_P(y),1,sudden,RebalanceStream,96.00602107375813
25000,sea_P(y),1,sudden,RebalanceStream,96.30490541840334
30000,sea_P(y),1,sudden,RebalanceStream,96.4979241998125
35000,sea_P(y),1,sudden,RebalanceStream,96.72272283762842
40000,sea_P(y),1,sudden,RebalanceStream,96.90980234774757
45000,sea_P(y),1,sudden,RebalanceStream,97.04076183695267
50000,sea_P(y),1,sudden,RebalanceStream,97.1373509455173
55000,sea_P(y),1,sudden,RebalanceStream,95.10807736063704
60000,sea_P(y),1,sudden,RebalanceStream,95.42114188807237
65000,sea_P(y),1,sudden,RebalanceStream,95.3532300717794
70000,sea_P(y),1,sudden,RebalanceStream,95.8061773873619
75000,sea_P(y),1,sudden,RebalanceStream,96.0716747070986
80000,sea_P(y),1,sudden,RebalanceStream,96.23110770996745
85000,sea_P(y),1,sudden,RebalanceStream,96.39980272891667
90000,sea_P(y),1,sudden,RebalanceStream,96.53895456487678
95000,sea_P(y),1,sudden,RebalanceStream,96.67544850081545
100000,sea_P(y),1,sudden,RebalanceStream,96.815358554489
5000,sea_P(y),1,incremental,improved_OOB,93.48171701112878
10000,sea_P(y),1,incremental,improved_OOB,95.3193177310591
15000,sea_P(y),1,incremental,improved_OOB,96.24151244840901
20000,sea_P(y),1,incremental,improved_OOB,96.76668339187155
25000,sea_P(y),1,incremental,improved_OOB,97.1062124248497
30000,sea_P(y),1,incremental,improved_OOB,97.35904647113968
35000,sea_P(y),1,incremental,improved_OOB,97.56629548846288
40000,sea_P(y),1,incremental,improved_OOB,97.76372578540601
45000,sea_P(y),1,incremental,improved_OOB,97.90430366212242
50000,sea_P(y),1,incremental,improved_OOB,98.70633893919792
55000,sea_P(y),1,incremental,improved_OOB,98.55083459787556
60000,sea_P(y),1,incremental,improved_OOB,97.7132146204311
65000,sea_P(y),1,incremental,improved_OOB,97.29483282674774
70000,sea_P(y),1,incremental,improved_OOB,97.59790209790211
75000,sea_P(y),1,incremental,improved_OOB,97.77566539923954
80000,sea_P(y),1,incremental,improved_OOB,97.81167690956981
85000,sea_P(y),1,incremental,improved_OOB,97.79194382852918
90000,sea_P(y),1,incremental,improved_OOB,97.83779527559055
95000,sea_P(y),1,incremental,improved_OOB,97.93424657534247
100000,sea_P(y),1,incremental,improved_OOB,97.97947715612021
5000,sea_P(y),1,incremental,WEOB1,93.23529411764704
10000,sea_P(y),1,incremental,WEOB1,95.09916699722334
15000,sea_P(y),1,incremental,WEOB1,96.04846225535881
20000,sea_P(y),1,incremental,WEOB1,96.62819869543402
25000,sea_P(y),1,incremental,WEOB1,96.97715430861723
