instances,drift,unbalance,type,alg,Gmean
25000,sea_P(y),1,sudden,OOB,70.18399732953367
30000,sea_P(y),1,sudden,OOB,70.22727666449273
35000,sea_P(y),1,sudden,OOB,70.26650650382052
40000,sea_P(y),1,sudden,OOB,70.30304836653912
45000,sea_P(y),1,sudden,OOB,70.32699868810987
50000,sea_P(y),1,sudden,OOB,70.34612931684728
55000,sea_P(y),1,sudden,OOB,70.54495028021896
60000,sea_P(y),1,sudden,OOB,70.58149329149097
65000,sea_P(y),1,sudden,OOB,70.5493095541327
70000,sea_P(y),1,sudden,OOB,70.5590942224562
75000,sea_P(y),1,sudden,OOB,70.56849452397195
80000,sea_P(y),1,sudden,OOB,70.55548586566904
85000,sea_P(y),1,sudden,OOB,70.5502566599429
90000,sea_P(y),1,sudden,OOB,70.54168240254768
95000,sea_P(y),1,sudden,OOB,70.53817576528151
100000,sea_P(y),1,sudden,OOB,70.53866897583777
5000,sea_P(y),1,sudden,ESOS_ELM,0.0
10000,sea_P(y),1,sudden,ESOS_ELM,0.0
15000,sea_P(y),1,sudden,ESOS_ELM,57.35383477725967
20000,sea_P(y),1,sudden,ESOS_ELM,60.729745443810614
25000,sea_P(y),1,sudden,ESOS_ELM,62.65874830411705
30000,sea_P(y),1,sudden,ESOS_ELM,63.94207073999621
35000,sea_P(y),1,sudden,ESOS_ELM,64.82416441271678
40000,sea_P(y),1,sudden,ESOS_ELM,65.48731701783562
45000,sea_P(y),1,sudden,ESOS_ELM,65.99878393934264
50000,sea_P(y),1,sudden,ESOS_ELM,66.41228960142864
55000,sea_P(y),1,sudden,ESOS_ELM,69.9056928290963
60000,sea_P(y),1,sudden,ESOS_ELM,69.9500834373797
65000,sea_P(y),1,sudden,ESOS_ELM,69.87631518062963
70000,sea_P(y),1,sudden,ESOS_ELM,69.931745682298
75000,sea_P(y),1,sudden,ESOS_ELM,69.90530382005502
80000,sea_P(y),1,sudden,ESOS_ELM,69.88739227237303
85000,sea_P(y),1,sudden,ESOS_ELM,69.89905591330901
90000,sea_P(y),1,sudden,ESOS_ELM,69.91077021786988
95000,sea_P(y),1,sudden,ESOS_ELM,69.92531563469107
100000,sea_P(y),1,sudden,ESOS_ELM,69.9213145172277
5000,sea_P(y),1,sudden,improved_UOB,69.38859557834056
10000,sea_P(y),1,sudden,improved_UOB,69.72113468951574
15000,sea_P(y),1,sudden,improved_UOB,69.91264206655363
20000,sea_P(y),1,sudden,improved_UOB,70.02857641318431
25000,sea_P(y),1,sudden,improved_UOB,70.09472886242123
30000,sea_P(y),1,sudden,improved_UOB,70.1419405070038
35000,sea_P(y),1,sudden,improved_UOB,70.1858152354509
40000,sea_P(y),1,sudden,improved_UOB,70.22885225411247
45000,sea_P(y),1,sudden,improved_UOB,70.25855113650883
50000,sea_P(y),1,sudden,improved_UOB,70.28153977306118
55000,sea_P(y),1,sudden,improved_UOB,70.51242342379314
60000,sea_P(y),1,sudden,improved_UOB,70.52730423248022
65000,sea_P(y),1,sudden,improved_UOB,70.52014500123516
70000,sea_P(y),1,sudden,improved_UOB,70.5236433185065
75000,sea_P(y),1,sudden,improved_UOB,70.53055467572969
80000,sea_P(y),1,sudden,improved_UOB,70.52346362757874
85000,sea_P(y),1,sudden,improved_UOB,70.52110695758093
90000,sea_P(y),1,sudden,improved_UOB,70.5241210711066
95000,sea_P(y),1,sudden,improved_UOB,70.528379570482
100000,sea_P(y),1,sudden,improved_UOB,70.52908548203652
5000,sea_P(y),1,sudden,WEOB2,69.38859557834056
10000,sea_P(y),1,sudden,WEOB2,69.72113468951574
15000,sea_P(y),1,sudden,WEOB2,69.91264206655363
20000,sea_P(y),1,sudden,WEOB2,70.02857641318431
25000,sea_P(y),1,sudden,WEOB2,70.09472886242123
30000,sea_P(y),1,sudden,WEOB2,70.1419405070038
35000,sea_P(y),1,sudden,WEOB2,70.1858152354509
40000,sea_P(y),1,sudden,WEOB2,70.22885225411247
45000,sea_P(y),1,sudden,WEOB2,70.25855113650883
50000,sea_P(y),1,sudden,WEOB2,70.28153977306118
55000,sea_P(y),1,sudden,WEOB2,70.51242342379314
60000,sea_P(y),1,sudden,WEOB2,70.52730423248022
65000,sea_P(y),1,sudden,WEOB2,70.52014500123516
70000,sea_P(y),1,sudden,WEOB2,70.5236433185065
75000,sea_P(y),1,sudden,WEOB2,70.53055467572969
80000,sea_P(y),1,sudden,WEOB2,70.52346362757874
85000,sea_P(y),1,sudden,WEOB2,70.52110695758093
90000,sea_P(y),1,sudden,WEOB2,70.5241210711066
95000,sea_P(y),1,sudden,WEOB2,70.528379570482
100000,sea_P(y),1,sudden,WEOB2,70.52908548203652
5000,sea_P(y),1,sudden,UOB,69.53608094035101
10000,sea_P(y),1,sudden,UOB,69.86374947717846
15000,sea_P(y),1,sudden,UOB,70.03079058874245
20000,sea_P(y),1,sudden,UOB,70.12616987084499
25000,sea_P(y),1,sudden,UOB,70.18399732953367
30000,sea_P(y),1,sudden,UOB,70.22727666449273
35000,sea_P(y),1,sudden,UOB,70.26650650382052
40000,sea_P(y),1,sudden,UOB,70.30304836653912
45000,sea_P(y),1,sudden,UOB,70.32699868810987
50000,sea_P(y),1,sudden,UOB,70.34612931684728
55000,sea_P(y),1,sudden,UOB,70.54495028021896
60000,sea_P(y),1,sudden,UOB,70.58149329149097
65000,sea_P(y),1,sudden,UOB,70.5493095541327
70000,sea_P(y),1,sudden,UOB,70.5590942224562
75000,sea_P(y),1,sudden,UOB,70.56849452397195
80000,sea_P(y),1,sudden,UOB,70.55548586566904
85000,sea_P(y),1,sudden,UOB,70.5502566599429
90000,sea_P(y),1,sudden,UOB,70.54168240254768
95000,sea_P(y),1,sudden,UOB,70.53817576528151
100000,sea_P(y),1,sudden,UOB,70.53866897583777
5000,sea_P(y),1,sudden,CSMOTE,69.46543250518359
10000,sea_P(y),1,sudden,CSMOTE,69.75539162643994
15000,sea_P(y),1,sudden,CSMOTE,69.90239856579475
20000,sea_P(y),1,sudden,CSMOTE,69.98663730552074
25000,sea_P(y),1,sudden,CSMOTE,70.03860345166835
30000,sea_P(y),1,sudden,CSMOTE,70.05080365544849
35000,sea_P(y),1,sudden,CSMOTE,70.08503052856963
40000,sea_P(y),1,sudden,CSMOTE,70.12440000500044
45000,sea_P(y),1,sudden,CSMOTE,70.1569423330832
50000,sea_P(y),1,sudden,CSMOTE,70.17824595221488
