drift,unbalance,type,alg,exp,gmean
sea_P(y),1,sudden,CSMOTE,2,70.22543513635313
sea_P(y),1,sudden,CSMOTE,3,70.22543513635313
sea_P(y),1,sudden,CSMOTE,4,70.22543513635313
sea_P(y),1,sudden,CSMOTE,5,70.22543513635313
sea_P(y),1,sudden,CSMOTE,6,70.22543513635313
sea_P(y),1,sudden,CSMOTE,7,70.22543513635313
sea_P(y),1,sudden,CSMOTE,8,70.22543513635313
sea_P(y),1,sudden,CSMOTE,9,70.22543513635313
sea_P(y),1,sudden,RebalanceStream,0,70.19929765045228
sea_P(y),1,sudden,RebalanceStream,1,70.19929765045228
sea_P(y),1,sudden,RebalanceStream,2,70.19929765045228
sea_P(y),1,sudden,RebalanceStream,3,70.19929765045228
sea_P(y),1,sudden,RebalanceStream,4,70.19929765045228
sea_P(y),1,sudden,RebalanceStream,5,70.19929765045228
sea_P(y),1,sudden,RebalanceStream,6,70.19929765045228
sea_P(y),1,sudden,RebalanceStream,7,70.19929765045228
sea_P(y),1,sudden,RebalanceStream,8,70.19929765045228
sea_P(y),1,sudden,RebalanceStream,9,70.19929765045228
sea_P(y),1,incremental,improved_OOB,0,70.3668372522809
sea_P(y),1,incremental,improved_OOB,1,70.38464922413067
sea_P(y),1,incremental,improved_OOB,2,70.36944996792343
sea_P(y),1,incremental,improved_OOB,3,70.38538532661468
sea_P(y),1,incremental,improved_OOB,4,70.35933320548841
sea_P(y),1,incremental,improved_OOB,5,70.38064025439304
sea_P(y),1,incremental,improved_OOB,6,70.41369769207384
sea_P(y),1,incremental,improved_OOB,7,70.36719097365379
sea_P(y),1,incremental,improved_OOB,8,70.36133193817032
sea_P(y),1,incremental,improved_OOB,9,70.34733149197427
sea_P(y),1,incremental,WEOB1,0,70.36196109087476
sea_P(y),1,incremental,WEOB1,1,70.3770212924251
sea_P(y),1,incremental,WEOB1,2,70.34759035595786
sea_P(y),1,incremental,WEOB1,3,70.36076132665625
sea_P(y),1,incremental,WEOB1,4,70.3451591093315
sea_P(y),1,incremental,WEOB1,5,70.34176626446629
sea_P(y),1,incremental,WEOB1,6,70.37236922747043
sea_P(y),1,incremental,WEOB1,7,70.37616646924114
sea_P(y),1,incremental,WEOB1,8,70.34499149624745
sea_P(y),1,incremental,WEOB1,9,70.34666325005261
sea_P(y),1,incremental,OOB,0,70.37247519398781
sea_P(y),1,incremental,OOB,1,70.36888850742515
sea_P(y),1,incremental,OOB,2,70.36615767349971
sea_P(y),1,incremental,OOB,3,70.37304669720525
sea_P(y),1,incremental,OOB,4,70.35308645973016
sea_P(y),1,incremental,OOB,5,70.29358232123653
sea_P(y),1,incremental,OOB,6,70.35332694297935
sea_P(y),1,incremental,OOB,7,70.37911191995549
sea_P(y),1,incremental,OOB,8,70.34560940231562
sea_P(y),1,incremental,OOB,9,70.34893097899787
sea_P(y),1,incremental,ESOS_ELM,0,65.56263545282484
sea_P(y),1,incremental,ESOS_ELM,1,65.53760486926726
sea_P(y),1,incremental,ESOS_ELM,2,65.52380986446185
sea_P(y),1,incremental,ESOS_ELM,3,65.53498269582006
sea_P(y),1,incremental,ESOS_ELM,4,65.50402442159468
sea_P(y),1,incremental,ESOS_ELM,5,65.53277877228382
sea_P(y),1,incremental,ESOS_ELM,6,65.51011165472907
sea_P(y),1,incremental,ESOS_ELM,7,65.59701522453946
sea_P(y),1,incremental,ESOS_ELM,8,65.49035022354508
sea_P(y),1,incremental,ESOS_ELM,9,65.52204859711364
sea_P(y),1,incremental,improved_UOB,0,70.31019870475146
sea_P(y),1,incremental,improved_UOB,1,70.31304133567899
sea_P(y),1,incremental,improved_UOB,2,70.2416093679328
sea_P(y),1,incremental,improved_UOB,3,70.29545344553277
sea_P(y),1,incremental,improved_UOB,4,70.28212537749411
sea_P(y),1,incremental,improved_UOB,5,70.27548304416203
sea_P(y),1,incremental,improved_UOB,6,70.26729921000961
sea_P(y),1,incremental,improved_UOB,7,70.3429930444278
sea_P(y),1,incremental,improved_UOB,8,70.26581450447053
sea_P(y),1,incremental,improved_UOB,9,70.30748035243712
sea_P(y),1,incremental,WEOB2,0,70.31019870475146
sea_P(y),1,incremental,WEOB2,1,70.31304133567899
sea_P(y),1,incremental,WEOB2,2,70.2416093679328
sea_P(y),1,incremental,WEOB2,3,70.29545344553277
sea_P(y),1,incremental,WEOB2,4,70.28212537749411
sea_P(y),1,incremental,WEOB2,5,70.27548304416203
sea_P(y),1,incremental,WEOB2,6,70.26729921000961
sea_P(y),1,incremental,WEOB2,7,70.3429930444278
sea_P(y),1,incremental,WEOB2,8,70.26581450447053
sea_P(y),1,incremental,WEOB2,9,70.30748035243712
sea_P(y),1,incremental,UOB,0,70.37247519398781
sea_P(y),1,incremental,UOB,1,70.36888850742515
sea_P(y),1,incremental,UOB,2,70.36615767349971
sea_P(y),1,incremental,UOB,3,70.37304669720525
sea_P(y),1,incremental,UOB,4,70.35308645973016
sea_P(y),1,incremental,UOB,5,70.29358232123653
sea_P(y),1,incremental,UOB,6,70.35332694297935
sea_P(y),1,incremental,UOB,7,70.37911191995549
sea_P(y),1,incremental,UOB,8,70.34560940231562
sea_P(y),1,incremental,UOB,9,70.34893097899787
sea_P(y),1,incremental,CSMOTE,0,70.2150639171223
sea_P(y),1,incremental,CSMOTE,1,70.2150639171223
sea_P(y),1,incremental,CSMOTE,2,70.2150639171223
sea_P(y),1,incremental,CSMOTE,3,70.2150639171223
sea_P(y),1,incremental,CSMOTE,4,70.2150639171223
sea_P(y),1,incremental,CSMOTE,5,70.2150639171223
sea_P(y),1,incremental,CSMOTE,6,70.2150639171223
sea_P(y),1,incremental,CSMOTE,7,70.2150639171223
sea_P(y),1,incremental,CSMOTE,8,70.2150639171223
sea_P(y),1,incremental,CSMOTE,9,70.2150639171223
sea_P(y),1,incremental,RebalanceStream,0,70.20773662203005
sea_P(y),1,incremental,RebalanceStream,1,70.20773662203005
sea_P(y),1,incremental,RebalanceStream,2,70.20773662203005
sea_P(y),1,incremental,RebalanceStream,3,70.20773662203005
sea_P(y),1,incremental,RebalanceStream,4,70.20773662203005
sea_P(y),1,incremental,RebalanceStream,5,70.20773662203005
sea_P(y),1,incremental,RebalanceStream,6,70.20773662203005
sea_P(y),1,incremental,RebalanceStream,7,70.20773662203005
sea_P(y),1,incremental,RebalanceStream,8,70.20773662203005
sea_P(y),1,incremental,RebalanceStream,9,70.20773662203005
sea_P(y),3,incremental,improved_OOB,0,64.68106399521749
sea_P(y),3,incremental,improved_OOB,1,64.68497154937077
sea_P(y),3,incremental,improved_OOB,2,64.66577218887002
sea_P(y),3,incremental,improved_OOB,3,64.67674371852321
sea_P(y),3,incremental,improved_OOB,4,64.6723993733544
sea_P(y),3,incremental,improved_OOB,5,64.58788062586976
sea_P(y),3,incremental,improved_OOB,6,64.6655984914964
sea_P(y),3,incremental,improved_OOB,7,64.66853753720162
sea_P(y),3,incremental,improved_OOB,8,64.70626958457687
