drift,unbalance,type,alg,Recall_0,Recall_1,Recall_0_std,Recall_1_std
sea_P(y),1,sudden,improved_OOB,98.49474321430235,99.54089343403605,0.08252391356674567,0.054668081390178994
sea_P(y),1,sudden,WEOB1,98.32139889225236,99.62410645869856,0.052809029231749176,0.047344734800184494
sea_P(y),1,sudden,OOB,98.52196764072197,99.37239188613978,0.06410014024085092,0.09008234479071989
sea_P(y),1,sudden,ESOS_ELM,97.36586030796744,74.88531568967352,0.19451966631874398,0.34930759356982527
sea_P(y),1,sudden,improved_UOB,97.99498702056826,99.54715539354268,0.11013341750523027,0.08179884078971333
sea_P(y),1,sudden,WEOB2,97.99498702056826,99.54715539354268,0.11013341750523027,0.08179884078971333
sea_P(y),1,sudden,UOB,98.52196764072197,99.37239188613978,0.06410014024085092,0.09008234479071989
sea_P(y),1,sudden,CSMOTE,98.1380466115811,99.1298111232395,0.0,0.0
sea_P(y),1,sudden,RebalanceStream,98.34111324703679,98.77901438192563,0.0,0.0
sea_P(y),1,incremental,improved_OOB,98.53616944019087,99.56492760066484,0.08049447482885558,0.04261607072541754
sea_P(y),1,incremental,WEOB1,98.37546475786296,99.63504748178642,0.053854586728225774,0.04407253327369533
sea_P(y),1,incremental,OOB,98.58209257106611,99.41664179674629,0.06432347663763865,0.10039649605427556
sea_P(y),1,incremental,ESOS_ELM,97.30802271227503,76.07266987586495,0.16426814346321786,0.1434697275964582
sea_P(y),1,incremental,improved_UOB,98.06201370386484,99.57040551759906,0.10650966314975545,0.06689343540439636
sea_P(y),1,incremental,WEOB2,98.06201370386484,99.57040551759906,0.10650966314975545,0.06689343540439636
sea_P(y),1,incremental,UOB,98.58209257106611,99.41664179674629,0.06432347663763865,0.10039649605427556
sea_P(y),1,incremental,CSMOTE,98.15905756916744,99.05020436390444,0.0,0.0
sea_P(y),1,incremental,RebalanceStream,98.37660811202662,98.79097851537037,1.4210854715202004e-14,0.0
sea_P(y),3,incremental,improved_OOB,92.55927832304303,74.69677962376373,0.20583511109822714,0.11777752089612463
sea_P(y),3,incremental,WEOB1,92.21628075311155,74.95793600540647,0.2124923746261922,0.15830321512049425
sea_P(y),3,incremental,OOB,91.94348531571038,74.85215830768715,0.29654619906813195,0.09846164526799878
sea_P(y),3,incremental,ESOS_ELM,92.38578205575467,57.98461674609191,0.17275149152671024,0.03170683702721963
sea_P(y),3,incremental,improved_UOB,91.67022385246159,74.99641358617649,0.2951223093002903,0.1969324085867871
sea_P(y),3,incremental,WEOB2,91.67022385246159,74.99641358617649,0.2951223093002903,0.1969324085867871
sea_P(y),3,incremental,UOB,91.30011443927798,74.99415298507745,0.7448754671952822,0.20437337006777004
sea_P(y),3,incremental,CSMOTE,86.71820775945335,74.56434201305333,1.4210854715202004e-14,0.0
sea_P(y),3,incremental,RebalanceStream,90.87910018668278,74.55367373687946,0.0,1.4210854715202004e-14
sea_P(y),3,sudden,improved_OOB,92.45264102488144,74.67854738567542,0.18954354208347615,0.10582924458916398
sea_P(y),3,sudden,WEOB1,92.16403868207992,74.91157675146283,0.21246150406159062,0.1399557181274905
sea_P(y),3,sudden,OOB,91.82541577740812,74.79924534969368,0.343645945292905,0.11325507361433712
sea_P(y),3,sudden,ESOS_ELM,92.63361795317957,57.177154734676364,0.24887618563560107,0.09209694863672618
sea_P(y),3,sudden,improved_UOB,91.667765063357,74.94132745811473,0.2932315594588434,0.194147473852788
sea_P(y),3,sudden,WEOB2,91.667765063357,74.94132745811473,0.2932315594588434,0.194147473852788
sea_P(y),3,sudden,UOB,91.17341425521,74.98278994266732,0.7812069713936756,0.22622346127633872
sea_P(y),3,sudden,CSMOTE,90.99119307211723,74.38286862006859,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y),3,sudden,RebalanceStream,90.76829193700186,74.54427374143275,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y),2,sudden,improved_OOB,92.50225658977739,74.62572256213592,0.1734485808748665,0.09785628352797301
sea_P(y),2,sudden,WEOB1,92.17131366036118,74.88265460789076,0.2043977585418944,0.1380254257972278
sea_P(y),2,sudden,OOB,91.91447072758544,74.75678460642308,0.32743476198366855,0.13578232203530058
sea_P(y),2,sudden,ESOS_ELM,92.48800950426723,57.05589727102707,0.2548160291769733,0.12637338130241813
sea_P(y),2,sudden,improved_UOB,91.64024020954412,74.9378641295909,0.2935642698709211,0.20228657370241307
sea_P(y),2,sudden,WEOB2,91.64024020954412,74.9378641295909,0.2935642698709211,0.20228657370241307
sea_P(y),2,sudden,UOB,91.1842950474106,74.98074026196537,0.7893433500443161,0.23608161912516928
sea_P(y),2,sudden,CSMOTE,89.90813869094113,74.21765051933178,1.4210854715202004e-14,0.0
sea_P(y),2,sudden,RebalanceStream,90.85710479652472,74.59356499633054,0.0,0.0
sea_P(y),2,incremental,improved_OOB,92.61603569038616,74.61281543260942,0.18510437918292016,0.12587287306626085
sea_P(y),2,incremental,WEOB1,92.26654154855913,74.85594887369646,0.20368336524172417,0.14614142929164417
sea_P(y),2,incremental,OOB,92.07661534163734,74.72260500640084,0.2994111061052915,0.12572047866120692
sea_P(y),2,incremental,ESOS_ELM,92.43691014997331,57.8569349145816,0.2746552338344072,0.10021065039872432
sea_P(y),2,incremental,improved_UOB,91.6729993310103,74.91900380871107,0.2693089549481999,0.1916183122332224
sea_P(y),2,incremental,WEOB2,91.6729993310103,74.91900380871107,0.2693089549481999,0.1916183122332224
sea_P(y),2,incremental,UOB,91.3443183906433,74.93754964047021,0.7905256956080092,0.22541814415622588
sea_P(y),2,incremental,CSMOTE,83.1666595302128,73.16519920294677,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y),2,incremental,RebalanceStream,91.03803958721517,74.47090286185929,0.0,0.0
sea_P(y),4,incremental,improved_OOB,92.48347767732437,74.72899005247827,0.18614864823546898,0.1016793506714723
sea_P(y),4,incremental,WEOB1,92.20517440767586,74.92932640100535,0.2076575449230575,0.13689381564096165
sea_P(y),4,incremental,OOB,91.77251372010481,74.8607157205735,0.27874717043010855,0.08982166464697924
sea_P(y),4,incremental,ESOS_ELM,92.24580292953287,58.1008183060291,0.22779201745216435,0.1019643779937152
sea_P(y),4,incremental,improved_UOB,91.73657329538317,74.94226000434445,0.29440929667152577,0.18461200091829447
sea_P(y),4,incremental,WEOB2,91.73657329538317,74.94226000434445,0.29440929667152577,0.18461200091829447
sea_P(y),4,incremental,UOB,91.1878581487904,74.99202696457641,0.7207173842964958,0.18474173149607798
sea_P(y),4,incremental,CSMOTE,89.81394562559217,74.67751542442507,0.0,1.4210854715202004e-14
sea_P(y),4,incremental,RebalanceStream,90.78199152227123,74.6169473331943,0.0,0.0
sea_P(y),4,sudden,improved_OOB,92.38105379467979,74.72097966049424,0.18469244113820174,0.0953875862482813
sea_P(y),4,sudden,WEOB1,92.12000262859718,74.91109346058218,0.20598867961461387,0.14192232084330283
sea_P(y),4,sudden,OOB,91.66280653185474,74.82899966152198,0.3241154320932553,0.11472041655003741
sea_P(y),4,sudden,ESOS_ELM,92.38012763975033,57.28983913204347,0.3554935276363606,0.12835362636092057
sea_P(y),4,sudden,improved_UOB,91.68761420281001,74.90690448828757,0.28446371911853985,0.19654694903538483
sea_P(y),4,sudden,WEOB2,91.68761420281001,74.90690448828757,0.28446371911853985,0.19654694903538483
sea_P(y),4,sudden,UOB,91.09305086779841,74.9777436474632,0.7669102724914556,0.21859447820399366
sea_P(y),4,sudden,CSMOTE,90.06986554898927,74.41782318971913,0.0,0.0
sea_P(y),4,sudden,RebalanceStream,90.58152671489441,74.61211698701547,1.4210854715202004e-14,0.0
sea_P(y_x),1,sudden,improved_OOB,87.42289621223468,74.03358138195372,0.15388139666964287,0.5404191026470129
sea_P(y_x),1,sudden,WEOB1,86.90299036160299,73.50932775951986,0.21106758973525402,0.4212611972140432
sea_P(y_x),1,sudden,OOB,86.48955566548679,76.67944104860072,0.12350671077957198,0.2645503436530881
sea_P(y_x),1,sudden,ESOS_ELM,86.45158707738389,58.585955019266486,0.23183760439839285,0.620055347796508
sea_P(y_x),1,sudden,improved_UOB,81.15337702536347,72.50508369815793,0.5178545501976792,0.7560470387874707
sea_P(y_x),1,sudden,WEOB2,81.15337702536347,72.50508369815793,0.5178545501976792,0.7560470387874707
sea_P(y_x),1,sudden,UOB,80.01321915893011,73.71765545032912,0.5665566994154997,0.7079970155299494
sea_P(y_x),1,sudden,CSMOTE,85.39718873653042,63.73483100366834,0.0,0.0
sea_P(y_x),1,sudden,RebalanceStream,98.04756001534842,28.25185817525188,1.4210854715202004e-14,0.0
