instances,drift,unbalance,type,alg,Fscore_0,Fscore_1
15000,sea_P(y),1,sudden,improved_UOB,97.72810616732124,97.78190924295224
20000,sea_P(y),1,sudden,improved_UOB,98.06073386453748,98.09299231767987
25000,sea_P(y),1,sudden,improved_UOB,98.25016953801727,98.27129995753154
30000,sea_P(y),1,sudden,improved_UOB,98.38305903781915,98.40742114406206
35000,sea_P(y),1,sudden,improved_UOB,98.50954214580159,98.52353362378982
40000,sea_P(y),1,sudden,improved_UOB,98.63207767902392,98.64337457212534
45000,sea_P(y),1,sudden,improved_UOB,98.71705389736475,98.72337420807546
50000,sea_P(y),1,sudden,improved_UOB,98.78208832325927,98.78909091453451
55000,sea_P(y),1,sudden,improved_UOB,99.48226049410262,95.52958753179028
60000,sea_P(y),1,sudden,improved_UOB,99.50208716190126,95.67574107040585
65000,sea_P(y),1,sudden,improved_UOB,99.47418877017432,95.41947483890883
70000,sea_P(y),1,sudden,improved_UOB,99.48719203549008,95.53299129558482
75000,sea_P(y),1,sudden,improved_UOB,99.50526276557483,95.6321997987529
80000,sea_P(y),1,sudden,improved_UOB,99.48851560194717,95.47885587233866
85000,sea_P(y),1,sudden,improved_UOB,99.4803276321751,95.39248846719312
90000,sea_P(y),1,sudden,improved_UOB,99.49448755097308,95.55669588425391
95000,sea_P(y),1,sudden,improved_UOB,99.50373119603657,95.67158026862027
100000,sea_P(y),1,sudden,improved_UOB,99.50543922088636,95.6855248371475
5000,sea_P(y),1,sudden,WEOB2,96.21879394829729,96.39689022453965
10000,sea_P(y),1,sudden,WEOB2,97.17590215022423,97.2743386259471
15000,sea_P(y),1,sudden,WEOB2,97.72810616732124,97.78190924295224
20000,sea_P(y),1,sudden,WEOB2,98.06073386453748,98.09299231767987
25000,sea_P(y),1,sudden,WEOB2,98.25016953801727,98.27129995753154
30000,sea_P(y),1,sudden,WEOB2,98.38305903781915,98.40742114406206
35000,sea_P(y),1,sudden,WEOB2,98.50954214580159,98.52353362378982
40000,sea_P(y),1,sudden,WEOB2,98.63207767902392,98.64337457212534
