drift,unbalance,type,alg,Gmean,Gmean_Mean,Gmean_Perc
sea_P(y),1,sudden,improved_OOB,70.35194043770869,0.7794698002827971,1.011203710219592
sea_P(y),1,sudden,WEOB1,70.3467839263607,0.7743132889348061,1.0111295930968172
sea_P(y),1,sudden,OOB,70.32735479606795,0.7548841586420565,1.010850328466501
sea_P(y),1,sudden,ESOS_ELM,65.32599718707182,-4.246473450354074,0.9389633081670421
sea_P(y),1,sudden,improved_UOB,70.28360889906938,0.7111382616434838,1.010221546757331
sea_P(y),1,sudden,WEOB2,70.21106346302977,0.6385928256038795,1.0091788148351362
sea_P(y),1,sudden,UOB,70.32735479606795,0.7548841586420565,1.010850328466501
sea_P(y),1,sudden,CSMOTE,70.22543513635313,0.6529644989272327,1.009385386100921
sea_P(y),1,sudden,RebalanceStream,68.75269709510368,-0.8197735423222099,0.9882169838901593
sea_P(y),1,incremental,improved_OOB,70.37893250807234,0.6089832535399466,1.0087284462730262
sea_P(y),1,incremental,WEOB1,70.35681895951737,0.5868697049849771,1.0084114968013518
sea_P(y),1,incremental,OOB,70.33583328899387,0.565884034461476,1.0081107130004787
sea_P(y),1,incremental,ESOS_ELM,65.53153617761798,-4.238413076914412,0.9392515958202582
sea_P(y),1,incremental,improved_UOB,70.30404622699567,0.5340969724632743,1.0076551148190578
sea_P(y),1,incremental,WEOB2,70.24594742649154,0.47599817195914795,1.0068223952725353
sea_P(y),1,incremental,UOB,70.33583328899387,0.565884034461476,1.0081107130004787
sea_P(y),1,incremental,CSMOTE,70.2150639171223,0.4451146625899014,1.0063797475466987
sea_P(y),1,incremental,RebalanceStream,70.22553149698658,0.45558224245418444,1.0065297774661144
sea_P(y),3,incremental,improved_OOB,64.66726516871196,0.6139157628931287,1.0095844443512794
sea_P(y),3,incremental,WEOB1,64.68776455295958,0.6344151471407429,1.0099044804530255
sea_P(y),3,incremental,OOB,64.62508213593722,0.5717327301183843,1.0089258834303276
sea_P(y),3,incremental,ESOS_ELM,61.141349756833336,-2.9119996489855,0.9545379019832964
sea_P(y),3,incremental,improved_UOB,64.58282225155952,0.5294728457406848,1.0082661227032195
sea_P(y),3,incremental,WEOB2,64.40379927342454,0.35044986760570396,1.0054712184586223
sea_P(y),3,incremental,UOB,64.59499764956168,0.5416482437428414,1.0084562048474803
sea_P(y),3,incremental,CSMOTE,63.49084195782807,-0.5625074479907681,0.9912181415459335
sea_P(y),3,incremental,RebalanceStream,64.2862219055536,0.23287249973476776,1.0036356022268151
sea_P(y),3,sudden,improved_OOB,64.6368984646941,0.5196919862524396,1.008105343554342
sea_P(y),3,sudden,WEOB1,64.66508664177272,0.5478801633310582,1.0085449786948417
sea_P(y),3,sudden,OOB,64.61829871533901,0.5010922368973496,1.0078152537270293
sea_P(y),3,sudden,ESOS_ELM,61.03015938952633,-3.0870470889153268,0.951853063187441
sea_P(y),3,sudden,improved_UOB,64.59578900783663,0.4785825293949699,1.0074641824820594
sea_P(y),3,sudden,WEOB2,64.352506765577,0.23530028713534534,1.0036698462091367
sea_P(y),3,sudden,UOB,64.58449071397526,0.4672842355335973,1.0072879693486134
sea_P(y),3,sudden,CSMOTE,64.29709589700165,0.17988941855999485,1.002805634063619
sea_P(y),3,sudden,RebalanceStream,64.27453271025215,0.15732623181048666,1.0024537287329165
sea_P(y),2,sudden,improved_OOB,64.63206987274586,0.6772367116103837,1.0105892968230261
sea_P(y),2,sudden,WEOB1,64.66098248466639,0.7061493235309158,1.0110413754305598
sea_P(y),2,sudden,OOB,64.63253655479865,0.6777033936631724,1.0105965938798664
sea_P(y),2,sudden,ESOS_ELM,60.97845897001802,-2.9763741911174577,0.9534613094272575
sea_P(y),2,sudden,improved_UOB,64.57966721824491,0.6248340571094317,1.0097699270911262
sea_P(y),2,sudden,WEOB2,64.36556981717865,0.4107366560431771,1.0064222926672066
sea_P(y),2,sudden,UOB,64.58845694398596,0.6336237828504849,1.009907363549117
