drift,unbalance,type,alg,Recall_0,Recall_1,Recall_0%,Recall_1%,Recall_0_Mean,Recall_1_Mean
sea_P(y),1,sudden,improved_OOB,98.48561710677316,99.49352354854804,1.0033164956515777,1.0392095826110939,0.3255474441944983,3.753910275773052
sea_P(y),1,sudden,WEOB1,98.33357405890271,99.6169731540414,1.001767565945302,1.0404990134044023,0.17350439632404857,3.8773598812664147
sea_P(y),1,sudden,OOB,98.3973579253213,99.44375523661355,1.0024173603743183,1.0386897527284236,0.2372882627426378,3.704141963838566
sea_P(y),1,sudden,ESOS_ELM,97.36586030796744,74.88531568967352,0.9919090383967606,0.7821769185166355,-0.7942093546112261,-20.85429758310147
sea_P(y),1,sudden,improved_UOB,98.06879810369382,99.5261267858681,0.9990701763028634,1.0395501233361455,-0.0912715588848414,3.7865135130931122
sea_P(y),1,sudden,WEOB2,97.74454272188926,99.44302542805681,0.9957668434617277,1.0386821298800353,-0.41552694068940355,3.703412155281825
sea_P(y),1,sudden,UOB,98.3973579253213,99.44375523661355,1.0024173603743183,1.0386897527284236,0.2372882627426378,3.704141963838566
sea_P(y),1,sudden,CSMOTE,98.1380466115811,99.1298111232395,0.9997756414489796,1.035410607318889,-0.022023050997560745,3.390197850464517
sea_P(y),1,sudden,RebalanceStream,98.50947220175786,90.67423325232042,1.0035595180441523,0.9470921194759517,0.34940253917919506,-5.065380020454569
sea_P(y),1,incremental,improved_OOB,98.5346684490207,99.59677748970601,1.0036180055659716,1.0288294252661119,0.3552138133359648,2.7908589926287988
sea_P(y),1,incremental,WEOB1,98.37070170253205,99.63639792376071,1.001947933684873,1.029238702247001,0.19124706684731052,2.830479426683496
sea_P(y),1,incremental,OOB,98.46107932571383,99.42778977507501,1.002868468673758,1.0270837911431723,0.28162469002909063,2.6218712779977977
sea_P(y),1,incremental,ESOS_ELM,97.30802271227503,76.07266987586495,0.9911240908126518,0.7858266421816116,-0.8714319234097019,-20.73324862121227
sea_P(y),1,incremental,improved_UOB,98.1208647677696,99.58929228260538,0.9994032369793401,1.0287521034740474,-0.05858986791513132,2.7833737855281697
sea_P(y),1,incremental,WEOB2,97.84301428926264,99.5411264118396,0.9965732102742827,1.0282545525854905,-0.3364403464220942,2.735207914762384
sea_P(y),1,incremental,UOB,98.46107932571383,99.42778977507501,1.002868468673758,1.0270837911431723,0.28162469002909063,2.6218712779977977
sea_P(y),1,incremental,CSMOTE,98.15905756916744,99.05020436390444,0.999792247099019,1.0231833538865187,-0.02039706651729034,2.2442858668272265
sea_P(y),1,incremental,RebalanceStream,98.35660357970742,98.91121857586383,1.0018043382363453,1.0217476380728745,0.1771489440226901,2.1053000787866125
sea_P(y),3,incremental,improved_OOB,93.13412765883939,74.15291431408767,1.0191205859973866,1.017418253762741,1.7473683896294006,1.2695017747055033
sea_P(y),3,incremental,WEOB1,92.74288259658843,74.64764045740522,1.0148393852481794,1.0242061651143155,1.356123327378441,1.7642279180230531
sea_P(y),3,incremental,OOB,92.01289268955256,75.05212314081929,1.0068514676015383,1.0297558871885324,0.626133420342569,2.1687106014371267
sea_P(y),3,incremental,ESOS_ELM,92.38578205575467,57.98461674609191,1.0109318110690602,0.7955804307977515,0.9990227865446855,-14.898795793290255
sea_P(y),3,incremental,improved_UOB,92.01313159518239,74.83421749655042,1.0068540818274037,1.0267661034136424,0.6263723259723974,1.950804957168259
sea_P(y),3,incremental,WEOB2,90.79551639475541,75.13802702297082,0.9935303223444779,1.0309345351024883,-0.5912428744545792,2.2546144835886537
sea_P(y),3,incremental,UOB,91.79183987002375,75.11688224715104,1.0044325961884748,1.03064441729539,0.4050806008137613,2.233469707768876
sea_P(y),3,incremental,CSMOTE,86.71820775945335,74.56434201305333,0.9489143553498394,1.0230632652218759,-4.6685515097566395,1.6809294736711706
sea_P(y),3,incremental,RebalanceStream,90.88645280273985,74.45994941630991,0.9945253943736387,1.021630942103265,-0.5003064664701355,1.5765368769277472
sea_P(y),3,sudden,improved_OOB,92.98895620888186,74.14031566795519,1.0126895966858256,1.0188371598579777,1.1652063518656774,1.3707715356130876
sea_P(y),3,sudden,WEOB1,92.63018380338089,74.64261077854907,1.008782411387255,1.0257397056493924,0.8064339463647059,1.873066646206965
sea_P(y),3,sudden,OOB,91.9986890194033,75.03121399613273,1.0019051624733202,1.0310798960026113,0.17493916238711904,2.2616698637906296
sea_P(y),3,sudden,ESOS_ELM,92.63361795317957,57.177154734676364,1.008819810750753,0.7857291867967636,0.8098680961633846,-15.592389397665741
sea_P(y),3,sudden,improved_UOB,92.04980131372176,74.86504013811495,1.002461797269852,1.0287963327345004,0.22605145670557647,2.0954960057728442
sea_P(y),3,sudden,WEOB2,90.61711834932342,75.05046501760911,0.9868592656086069,1.0313444437843229,-1.2066315076927623,2.280920885267008
sea_P(y),3,sudden,UOB,91.76500194673483,75.08919395880707,0.9993602100723088,1.0318766573863145,-0.05874791028135462,2.3196498264649676
sea_P(y),3,sudden,CSMOTE,90.99119307211723,74.38286862006859,0.9909330997024695,1.022170325607543,-0.832556784898955,1.6133244877264872
sea_P(y),3,sudden,RebalanceStream,90.73918704640275,74.5470342791659,0.9881886460496084,1.0244262921805745,-1.0845628106134342,1.7774901468237942
sea_P(y),2,sudden,improved_OOB,93.01965980613787,74.08445597902292,1.0129466435229806,1.0298985918137147,1.1889001102274506,2.1507174848711372
sea_P(y),2,sudden,WEOB1,92.63365223549603,74.61776278070934,1.0087431764938493,1.037312453693419,0.8028925395856135,2.684024286557559
sea_P(y),2,sudden,OOB,92.12683505837241,74.97710717998885,1.0032241414907426,1.0423079454724085,0.2960753624619912,3.0433686858370663
sea_P(y),2,sudden,ESOS_ELM,92.48800950426723,57.05589727102707,1.0071571857897423,0.7931729737036498,0.6572498083568092,-14.877841223124712
sea_P(y),2,sudden,improved_UOB,91.97514284248982,74.85587949212723,1.0015722743344115,1.040622676634734,0.14438314657940055,2.922140997975447
sea_P(y),2,sudden,WEOB2,90.67350197146018,75.06189543386903,0.9873979293182111,1.043486644865143,-1.1572577244502327,3.1281569397172433
sea_P(y),2,sudden,UOB,91.78328940807059,75.09153403064217,0.9994830676780088,1.0438986712298723,-0.047470287839828984,3.157795536490383
sea_P(y),2,sudden,CSMOTE,89.90813869094113,74.21765051933178,0.9790634313454895,1.0317502200357025,-1.9226210049692867,2.283912025180001
sea_P(y),2,sudden,RebalanceStream,91.86860774595843,67.44146376064757,1.0004121500265635,0.9375498225513548,0.03784805004801228,-4.4922747335042175
sea_P(y),2,incremental,improved_OOB,93.16097246257496,74.08126141788397,1.023568875873625,1.0195778353480671,2.145140838092189,1.4225012432928423
sea_P(y),2,incremental,WEOB1,92.76049722774768,74.59388969301577,1.0191688146130788,1.0266331205456127,1.744665603264906,1.9351295184246453
sea_P(y),2,incremental,OOB,92.17411294319893,74.91358207030154,1.0127261521214799,1.0310330356627657,1.1582813187161634,2.254821895710421
sea_P(y),2,incremental,ESOS_ELM,92.43691014997331,57.8569349145816,1.0156135311860215,0.7962829915561133,1.4210785254905431,-14.801825260009522
sea_P(y),2,incremental,improved_UOB,92.023209899877,74.76854683511792,1.0110681653665543,1.029036920743723,1.007378275394231,2.109786660526794
sea_P(y),2,incremental,WEOB2,90.67106515033556,75.06087686330457,0.9962120164372099,1.0330602487978247,-0.34476647414720674,2.4021166887134484
sea_P(y),2,incremental,UOB,91.74551854313522,75.03260101607898,1.0080171427940474,1.0326710892916942,0.7296869186524475,2.373840841487862
sea_P(y),2,incremental,CSMOTE,83.1666595302128,73.16519920294677,0.9137603650466608,1.0069701028085083,-7.849172094269974,0.5064390283556435
sea_P(y),2,incremental,RebalanceStream,91.00353871328949,74.45594955808896,0.9998649365613226,1.0247346552456909,-0.012292911193284795,1.7971893834978374
sea_P(y),4,incremental,improved_OOB,93.06008610151449,74.1554279300448,1.0149674909413462,1.0171023626109656,1.3723355754315634,1.2469079461926782
sea_P(y),4,incremental,WEOB1,92.71720515772226,74.64525287565911,1.0112278316976102,1.0238207124790306,1.0294546316393394,1.7367328918069944
sea_P(y),4,incremental,OOB,91.89543496773442,75.0439265898814,1.002265127462064,1.0292888486352794,0.20768444165149447,2.135406606029278
sea_P(y),4,incremental,ESOS_ELM,92.24580292953287,58.1008183060291,1.0060864444841102,0.7969002569095813,0.558052403449949,-14.807701677823019
sea_P(y),4,incremental,improved_UOB,92.09574464567027,74.87356109531638,1.0044498214564799,1.026952146496726,0.4079941195873431,1.9650411114642594
sea_P(y),4,incremental,WEOB2,90.87384595649749,75.08704831922708,0.9911230828009692,1.029880298432302,-0.8139045695854321,2.1785283353749634
sea_P(y),4,incremental,UOB,91.69613065617072,75.06830994722874,1.00009139857876,1.0296232863299788,0.008380130087800808,2.1597899633766247
sea_P(y),4,incremental,CSMOTE,89.81394562559217,74.67751542442507,0.979563192577642,1.0242632197302146,-1.8738049004907538,1.7689954405729509
sea_P(y),4,incremental,RebalanceStream,90.7915586943117,74.5248193668573,0.9902256100010189,1.0221688683759205,-0.896191831771219,1.6162993830051846
sea_P(y),4,sudden,improved_OOB,92.95514380964323,74.16251120034222,1.0142597316354094,1.0186933632029764,1.3068796517427614,1.3609068322128337
sea_P(y),4,sudden,WEOB1,92.6021702489165,74.66438452017273,1.0104083377877462,1.0255870755625658,0.9539060910160231,1.8627801520433422
sea_P(y),4,sudden,OOB,91.76669552569146,75.0918805647079,1.0012922379804918,1.0314591445677141,0.11843136779098984,2.2902761965785174
sea_P(y),4,sudden,ESOS_ELM,92.38012763975033,57.28983913204347,1.0079855683964611,0.786930997321859,0.7318634818498566,-15.511765236085921
sea_P(y),4,sudden,improved_UOB,92.05387848113513,74.79451831346015,1.0044257720204697,1.0273745882749143,0.4056143232346585,1.9929139453307556
sea_P(y),4,sudden,WEOB2,90.74668681515642,75.0241507774182,0.9901626359099315,1.0305288108494184,-0.9015773427440479,2.2225464092888103
sea_P(y),4,sudden,UOB,91.7491953207103,75.06036379734317,1.001101288319394,1.0310262314796266,0.10093116280982883,2.2587594292137823
sea_P(y),4,sudden,CSMOTE,90.06986554898927,74.41782318971913,0.9827776486176346,1.0222003187377184,-1.5783986089112005,1.6162188215897402
sea_P(y),4,sudden,RebalanceStream,90.51061403111166,74.70896781795751,0.9875867793324622,1.0261994700032067,-1.137650126788813,1.9073634498281251
sea_P(y_x),1,sudden,improved_OOB,87.29977069816552,74.30790702503609,1.017575637044389,1.128413709256477,1.5078476999566846,8.45625490890015
sea_P(y_x),1,sudden,WEOB1,86.6308180350176,74.13583575103596,1.009778251932018,1.1258006954827806,0.8388950368087649,8.284183634900018
sea_P(y_x),1,sudden,OOB,86.37447448285938,76.82392547701,1.006790283563905,1.166621079476083,0.5825514846505513,10.972273360874055
sea_P(y_x),1,sudden,ESOS_ELM,86.45158707738389,58.585955019266486,1.0076891163657542,0.8896656824333629,0.6596640791750588,-7.265697096869452
sea_P(y_x),1,sudden,improved_UOB,80.25436313141437,73.51344557148505,0.9354535989721308,1.1163492973849278,-5.537559866794467,7.6617934553491125
sea_P(y_x),1,sudden,WEOB2,81.66191125185345,69.41452386441117,0.9518601331917738,1.0541045157377638,-4.130011746355379,3.562871748275228
sea_P(y_x),1,sudden,UOB,80.00963355530652,73.89658715805851,0.9326010043740011,1.1221675505989512,-5.782289442902311,8.044935041922571
sea_P(y_x),1,sudden,CSMOTE,85.39718873653042,63.73483100366834,0.9953989344464671,0.9678547000045743,-0.3947342616784084,-2.1168211124675977
sea_P(y_x),1,sudden,RebalanceStream,98.04756001534842,28.25185817525188,1.142853040109562,0.4290227696250797,12.255637017139591,-37.599793940884055
sea_P(y_x),1,incremental,improved_OOB,87.79512082834582,73.00074254892857,1.0218905519048551,1.107552120543498,1.8807137867195678,7.088952760556666
sea_P(y_x),1,incremental,WEOB1,87.06239090020378,73.48926244795963,1.013361948223903,1.1149638430987432,1.1479838585775326,7.577472659587727
sea_P(y_x),1,incremental,OOB,86.63594331360432,75.47730534060885,1.0083983152165443,1.1451260174082616,0.7215362719780671,9.565515552236945
sea_P(y_x),1,incremental,ESOS_ELM,85.8691879625135,59.211653587600765,0.9994736729185497,0.8983469236340905,-0.04521907911275491,-6.700136200771141
sea_P(y_x),1,incremental,improved_UOB,80.90512375307881,73.63482680631316,0.9416944903534002,1.1171723153435555,-5.0092832885474365,7.723037017941252
sea_P(y_x),1,incremental,WEOB2,81.46192302887968,70.91752453597086,0.9481753507233158,1.075945969054569,-4.452484012746567,5.00573474759895
sea_P(y_x),1,incremental,UOB,80.33546895104573,74.99317436141163,0.9350639981967462,1.1377808826341695,-5.578938090580522,9.081384573039728
sea_P(y_x),1,incremental,CSMOTE,85.16014684201659,63.36481002007567,0.9912207949099362,0.9613577513753758,-0.7542601996096607,-2.5469797682962323
sea_P(y_x),1,incremental,RebalanceStream,98.00435779494794,29.11680844647803,1.1407208775527486,0.4417541769077372,12.089950753321688,-36.79498134189387
sea_P(y_x),3,incremental,improved_OOB,84.8108189368622,79.24940040783471,1.0140752941190097,1.0484900567256956,1.1771682319185999,3.6650876149020206
sea_P(y_x),3,incremental,WEOB1,84.0515322138497,79.58172304394341,1.0049965714205202,1.052886771120905,0.4178815089060919,3.99741025101072
sea_P(y_x),3,incremental,OOB,82.40995690248943,82.35327430769148,0.9853684038405627,1.0895551109038024,-1.2236938024541786,6.768961514758786
sea_P(y_x),3,incremental,ESOS_ELM,86.10994143451842,60.12090780311438,1.0296087843673245,0.7954151540388923,2.4762907295748136,-15.463404989818315
sea_P(y_x),3,incremental,improved_UOB,82.01627387027303,79.43953733612548,0.9806611714179903,1.0510056174454399,-1.61737683467058,3.85522454319279
sea_P(y_x),3,incremental,WEOB2,84.14512842345201,71.18469046795192,1.006115692836522,0.9417918591515971,0.5114777185084023,-4.399622324980768
sea_P(y_x),3,incremental,UOB,77.445908837926,82.8138855175014,0.9260137299416986,1.0956491162971147,-6.187741867017607,7.229572724568712
sea_P(y_x),3,incremental,CSMOTE,84.06378106014039,76.96431188102235,1.0051430297681763,1.0182577447237,0.43013035519678056,1.3799990880896615
sea_P(y_x),3,incremental,RebalanceStream,87.64951466498144,68.55108437120903,1.0480173222881977,0.9069485695928523,4.015863960037834,-7.033228421723663
sea_P(y_x),3,sudden,improved_OOB,84.6516876643152,79.23855793317388,1.0115334421882232,1.0546014471770093,0.9651933441763845,4.102535556870322
sea_P(y_x),3,sudden,WEOB1,84.06504089925309,79.20678544166618,1.0045233891345258,1.0541785808806199,0.37854657911427125,4.070763065362627
sea_P(y_x),3,sudden,OOB,82.13603798540267,82.81758140303677,0.981473039976977,1.1022353697173597,-1.550456334736154,7.681559026733211
