ds,alg,Recall_0,Recall_1,Recall_0_std,Recall_1_std
KDDCup,improved_OOB,97.15655556275475,99.74249148061718,0.0,1.4210854715202004e-14
KDDCup,WEOB1,98.88129505568767,99.10139585088145,0.0,0.0
KDDCup,OOB,96.9798926629041,99.86829041088046,1.4210854715202004e-14,1.4210854715202004e-14
KDDCup,ESOS_ELM,100.0,0.0,0.0,0.0
KDDCup,improved_UOB,98.4018521449992,96.02451645343186,1.4210854715202004e-14,0.0
KDDCup,WEOB2,98.21314448463167,95.27573057484446,0.0,1.4210854715202004e-14
KDDCup,UOB,95.94248111874364,99.42185439987873,1.4210854715202004e-14,0.0
KDDCup,CSMOTE,97.40330962335665,98.92895137058073,1.4210854715202004e-14,1.4210854715202004e-14
KDDCup,RebalanceStream,98.23027278008485,99.28797425961704,1.4210854715202004e-14,0.0
PAKDD,improved_OOB,75.64984975602829,42.22815871933959,0.0,0.0
PAKDD,WEOB1,62.089122648611216,58.908897293793906,0.0,7.105427357601002e-15
PAKDD,OOB,59.82065176217359,59.48400145711705,0.0,0.0
PAKDD,ESOS_ELM,62.45080213225989,45.116423661895226,1.357455905258948,1.6054456833355142
PAKDD,improved_UOB,50.106602730069376,69.96148523924839,0.0,0.0
PAKDD,WEOB2,49.34074052236758,71.30271703369479,0.0,0.0
PAKDD,UOB,33.37594219017491,83.77699985850096,0.0,0.0
PAKDD,CSMOTE,57.96652984950132,56.637635203918805,0.0,0.0
PAKDD,RebalanceStream,99.77333330420939,0.5162531610463702,0.0,1.1102230246251565e-16
Elec,improved_OOB,91.08643123053945,86.60679610003231,0.0,0.0
Elec,WEOB1,90.0702935341568,84.67005703064095,0.0,0.0
Elec,OOB,91.68999861027979,88.41704641265247,0.0,0.0
Elec,ESOS_ELM,78.94081421443272,53.54506922580718,2.6336207705187182,3.119120524955405
Elec,improved_UOB,87.36442755287348,80.93791589714724,0.0,1.4210854715202004e-14
Elec,WEOB2,82.64395121598247,81.00465149930915,0.0,0.0
Elec,UOB,91.1459267929921,80.87616334781225,0.0,1.4210854715202004e-14
Elec,CSMOTE,90.0948754400205,77.03381409169086,0.0,1.4210854715202004e-14
Elec,RebalanceStream,87.42405562754342,75.39335524739269,1.4210854715202004e-14,0.0
