drift,unbalance,type,alg,F1_0,F1_1,F1_0_std,F1_1_std
sea_P(y),3,incremental,CSMOTE,84.68737157696356,75.76512412721146,0.0,0.0
sea_P(y),3,incremental,RebalanceStream,86.97443660707964,79.69827511935691,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y),3,sudden,improved_OOB,88.03943958681747,80.39737558077162,0.0,0.0
sea_P(y),3,sudden,WEOB1,88.02609344902235,80.49575412530234,0.0,0.0
sea_P(y),3,sudden,OOB,87.81264953165191,80.28703991497147,0.0,0.0
sea_P(y),3,sudden,ESOS_ELM,82.28834094909713,62.89422466469706,0.12204661578020864,0.1692116090110619
sea_P(y),3,sudden,improved_UOB,87.79735784566648,80.28343843595594,0.0,1.4210854715202004e-14
sea_P(y),3,sudden,WEOB2,87.06197148012481,79.56029990629122,1.4210854715202004e-14,0.0
sea_P(y),3,sudden,UOB,87.70008733231084,80.0943225197428,1.4210854715202004e-14,0.0
sea_P(y),3,sudden,CSMOTE,87.11128485137952,79.18476850698515,0.0,0.0
sea_P(y),3,sudden,RebalanceStream,86.94819672381092,79.59377600252843,0.0,0.0
sea_P(y),2,sudden,improved_OOB,89.0746973419011,78.76871118567837,0.0,0.0
sea_P(y),2,sudden,WEOB1,89.04477813039803,78.77436690369669,1.4210854715202004e-14,0.0
sea_P(y),2,sudden,OOB,88.88312027686592,78.55737089176918,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y),2,sudden,ESOS_ELM,83.17549639059303,59.90298303511673,0.12494987171571446,0.2476500896603261
sea_P(y),2,sudden,improved_UOB,88.77553170536592,78.35380793330941,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y),2,sudden,WEOB2,88.10336947313371,77.62185425533376,0.0,1.4210854715202004e-14
sea_P(y),2,sudden,UOB,88.71468373941192,78.11068562117109,0.0,0.0
sea_P(y),2,sudden,CSMOTE,87.55036833321813,75.46315116803383,1.4210854715202004e-14,0.0
sea_P(y),2,sudden,RebalanceStream,87.72959543130246,74.6352513047647,1.4210854715202004e-14,0.0
sea_P(y),2,incremental,improved_OOB,89.11139993719743,79.13443037669882,0.0,0.0
sea_P(y),2,incremental,WEOB1,89.07035303522869,79.10643838709065,1.4210854715202004e-14,0.0
sea_P(y),2,incremental,OOB,88.86236678466312,78.77933897326702,0.0,0.0
sea_P(y),2,incremental,ESOS_ELM,83.40498458798778,60.895310290665336,0.134686561542897,0.22499621784421045
sea_P(y),2,incremental,improved_UOB,88.74974302310805,78.53854831355476,0.0,0.0
sea_P(y),2,incremental,WEOB2,88.0654118024938,77.78574306954894,1.4210854715202004e-14,0.0
sea_P(y),2,incremental,UOB,88.64892286374672,78.23040479270216,0.0,0.0
sea_P(y),2,incremental,CSMOTE,83.40359906546199,68.35593162281609,0.0,1.4210854715202004e-14
sea_P(y),2,incremental,RebalanceStream,88.06947484165599,78.3059340068139,0.0,0.0
sea_P(y),4,incremental,improved_OOB,86.72496669055695,81.36549138721247,1.4210854715202004e-14,0.0
sea_P(y),4,incremental,WEOB1,86.72348055998285,81.50571940187174,0.0,0.0
sea_P(y),4,incremental,OOB,86.42636379483523,81.29054273798593,0.0,0.0
sea_P(y),4,incremental,ESOS_ELM,81.10963899208987,64.93278613126213,0.09534162373768597,0.07019416130006463
sea_P(y),4,incremental,improved_UOB,86.4760558401414,81.32959732353683,0.0,0.0
sea_P(y),4,incremental,WEOB2,85.87238871561962,80.89309823993463,1.4210854715202004e-14,0.0
sea_P(y),4,incremental,UOB,86.32749017833109,81.17476466078969,0.0,0.0
sea_P(y),4,incremental,CSMOTE,85.18283156311938,79.84200490012235,1.4210854715202004e-14,0.0
sea_P(y),4,incremental,RebalanceStream,85.61318233895237,80.57978109589922,0.0,0.0
sea_P(y),4,sudden,improved_OOB,86.68878056334736,81.30106288887308,0.0,0.0
sea_P(y),4,sudden,WEOB1,86.68581748111919,81.44482421854651,1.4210854715202004e-14,0.0
sea_P(y),4,sudden,OOB,86.38935785603668,81.23359313705105,0.0,1.4210854715202004e-14
sea_P(y),4,sudden,ESOS_ELM,80.90167979737495,64.40669375649188,0.1563449076213186,0.12691441874001186
sea_P(y),4,sudden,improved_UOB,86.44934755196981,81.25401286302733,0.0,0.0
sea_P(y),4,sudden,WEOB2,85.80352745853978,80.77537047368438,0.0,0.0
sea_P(y),4,sudden,UOB,86.37103493630819,81.20114563875885,0.0,0.0
sea_P(y),4,sudden,CSMOTE,85.26684173493076,79.82031913048458,1.4210854715202004e-14,0.0
