ds,alg,F1_0,F1_1,F1_0_std,F1_1_std
KDDCup,improved_OOB,97.92131092513542,91.26893835964778,1.4210854715202004e-14,0.0
KDDCup,WEOB1,95.63253800339828,91.14788385158384,0.0,0.0
KDDCup,OOB,97.71239503010152,92.83696092715991,1.4210854715202004e-14,0.0
KDDCup,ESOS_ELM,83.12720197527338,0.0,0.0,0.0
KDDCup,improved_UOB,92.06415723668195,89.58295496510378,1.4210854715202004e-14,0.0
KDDCup,WEOB2,92.4518633128902,81.49641525620021,0.0,0.0
KDDCup,UOB,95.05175395125022,94.35237962976271,1.4210854715202004e-14,0.0
KDDCup,CSMOTE,97.32720428082052,97.32066329951691,0.0,0.0
KDDCup,RebalanceStream,97.5773771472323,93.58443221469317,1.4210854715202004e-14,0.0
PAKDD,improved_OOB,79.53010509624917,34.207625017294596,0.0,7.105427357601002e-15
PAKDD,WEOB1,71.78711156698657,36.89125649360513,1.4210854715202004e-14,0.0
PAKDD,OOB,70.41285339081057,36.76346877589926,1.4210854715202004e-14,7.105427357601002e-15
PAKDD,ESOS_ELM,69.69740851952237,25.865104540765753,0.9663122472706817,0.47419858280545313
PAKDD,improved_UOB,63.01189249973004,37.18131184040758,0.0,7.105427357601002e-15
PAKDD,WEOB2,61.88837630387324,37.19021755448959,0.0,0.0
PAKDD,UOB,48.472757310502445,36.63237531564296,7.105427357601002e-15,7.105427357601002e-15
PAKDD,CSMOTE,68.2518699133752,34.29058025011397,1.4210854715202004e-14,0.0
PAKDD,RebalanceStream,89.15539557691294,0.9969308391372209,0.0,0.0
Elec,improved_OOB,90.79043157783488,87.11532887130576,0.0,0.0
Elec,WEOB1,89.56196421292653,85.69871309214167,1.4210854715202004e-14,0.0
Elec,OOB,91.51569927911636,88.48054125731505,0.0,0.0
Elec,ESOS_ELM,72.72078375504121,52.3060430904586,1.5139640251468423,2.323718829061588
Elec,improved_UOB,86.79864877289354,82.11271319958871,0.0,0.0
Elec,WEOB2,83.83737013174968,80.02202382816799,0.0,0.0
Elec,UOB,89.06975970691425,83.73457811403209,0.0,1.4210854715202004e-14
Elec,CSMOTE,86.85678145993442,80.97157521526944,1.4210854715202004e-14,0.0
Elec,RebalanceStream,84.30778070757506,77.92763504846587,1.4210854715202004e-14,0.0
