drift,unbalance,type,alg,F1_0,F1_1
sea_P(y),1,sudden,improved_OOB,1.01299509315718,1.0398375857573752
sea_P(y),1,sudden,WEOB1,1.0123621158662484,1.0369867095604088
sea_P(y),1,sudden,OOB,1.012430688903036,1.0390180042002288
sea_P(y),1,sudden,improved_UOB,1.0106878855543322,1.027286701604574
sea_P(y),1,sudden,WEOB2,1.008731076990143,1.0195990562515818
sea_P(y),1,sudden,UOB,1.012430688903036,1.0390180042002288
sea_P(y),1,sudden,CSMOTE,1.0099890066003916,1.0294741173855722
sea_P(y),1,sudden,RebalanceStream,1.0069700066658838,0.9905723258290382
sea_P(y),1,incremental,improved_OOB,1.012156312433977,1.032912842927354
sea_P(y),1,incremental,WEOB1,1.011401842920355,1.029585940530878
sea_P(y),1,incremental,OOB,1.011568253737649,1.0324299924997797
sea_P(y),1,incremental,improved_UOB,1.0098290948688597,1.0217262268014744
sea_P(y),1,incremental,WEOB2,1.0081865191485866,1.0167949711645825
sea_P(y),1,incremental,UOB,1.011568253737649,1.0324299924997797
sea_P(y),1,incremental,CSMOTE,1.0089085520576115,1.021830791786013
sea_P(y),1,incremental,RebalanceStream,1.009589232737298,1.0244896152067635
sea_P(y),3,incremental,improved_OOB,1.0156075021001545,1.0349566379177868
sea_P(y),3,incremental,WEOB1,1.015225868757585,1.0356413763785377
sea_P(y),3,incremental,OOB,1.0122101119762033,1.032133692437038
sea_P(y),3,incremental,improved_UOB,1.0115906447301148,1.030744179670787
sea_P(y),3,incremental,WEOB2,1.004733409933925,1.0250258393856262
sea_P(y),3,incremental,UOB,1.0110100490814171,1.0299552515299855
sea_P(y),3,incremental,CSMOTE,0.97648419291745,0.9730396957982588
sea_P(y),3,incremental,RebalanceStream,1.0028551005096527,1.0235525417681275
sea_P(y),3,sudden,improved_OOB,1.0122249779640549,1.0295754791678262
sea_P(y),3,sudden,WEOB1,1.0120715320300626,1.0308353229922467
sea_P(y),3,sudden,OOB,1.0096174811459266,1.028162511453832
sea_P(y),3,sudden,improved_UOB,1.0094416664589831,1.028116390613987
sea_P(y),3,sudden,WEOB2,1.0009866325429455,1.0188558184521967
sea_P(y),3,sudden,UOB,1.0083233080993657,1.0256945564602367
sea_P(y),3,sudden,CSMOTE,1.001553608279796,1.0140467321158564
sea_P(y),3,sudden,RebalanceStream,0.9996785182393655,1.0192845161251634
sea_P(y),2,sudden,improved_OOB,1.0134259695661347,1.042238632072569
sea_P(y),2,sudden,WEOB1,1.0130855709250957,1.0423134664544202
sea_P(y),2,sudden,OOB,1.0112463475334639,1.039442254989459
sea_P(y),2,sudden,improved_UOB,1.0100222844084652,1.0367487847501704
sea_P(y),2,sudden,WEOB2,1.0023749200925247,1.0270638427396868
sea_P(y),2,sudden,UOB,1.009330001294032,1.033531879684502
sea_P(y),2,sudden,CSMOTE,0.9960832824769736,0.998500676999235
sea_P(y),2,sudden,RebalanceStream,0.9981223957276363,0.9875462103334965
sea_P(y),2,incremental,improved_OOB,1.0185631173810057,1.0487059800874934
sea_P(y),2,incremental,WEOB1,1.0180939421637205,1.0483350244016194
sea_P(y),2,incremental,OOB,1.0157166130689275,1.044000234731345
sea_P(y),2,incremental,improved_UOB,1.0144292984297054,1.0408092266759714
sea_P(y),2,incremental,WEOB2,1.0066072404003035,1.0308328945349292
sea_P(y),2,incremental,UOB,1.0132769015883776,1.0367256444538584
sea_P(y),2,incremental,CSMOTE,0.9533216841479715,0.9058670660300451
sea_P(y),2,incremental,RebalanceStream,1.0066536818414435,1.0377265733558956
sea_P(y),4,incremental,improved_OOB,1.0130679705674672,1.0271780922042604
sea_P(y),4,incremental,WEOB1,1.0130506104998631,1.0289483653521951
sea_P(y),4,incremental,OOB,1.0095798743349977,1.026231921914949
sea_P(y),4,incremental,improved_UOB,1.0101603463883486,1.0267249566646206
sea_P(y),4,incremental,WEOB2,1.0031086765858146,1.0212144842481303
sea_P(y),4,incremental,UOB,1.0084248932743314,1.0247703108261945
sea_P(y),4,incremental,CSMOTE,0.9950536920556243,1.007945221897351
sea_P(y),4,incremental,RebalanceStream,1.000080786371623,1.0172590911105948
sea_P(y),4,sudden,improved_OOB,1.0131281782976869,1.027734673551211
sea_P(y),4,sudden,WEOB1,1.0130935488787418,1.0295519745552972
sea_P(y),4,sudden,OOB,1.0096288375522378,1.0268817818312321
sea_P(y),4,sudden,improved_UOB,1.010329934637263,1.027139909580914
sea_P(y),4,sudden,WEOB2,1.0027822620259648,1.021089344406489
sea_P(y),4,sudden,UOB,1.0094146983503134,1.0264716098374114
sea_P(y),4,sudden,CSMOTE,0.9965100382624635,1.0090164471336733
sea_P(y),4,sudden,RebalanceStream,0.999617930013864,1.0179429551834602
sea_P(y_x),1,sudden,improved_OOB,1.0141943917646161,1.222684544279473
sea_P(y_x),1,sudden,WEOB1,1.0105507473792361,1.171122615496528
sea_P(y_x),1,sudden,OOB,1.0096470478853263,1.214655472946833
sea_P(y_x),1,sudden,improved_UOB,0.9693095409367881,0.9356223573081585
sea_P(y_x),1,sudden,WEOB2,0.9764529382986842,0.9239065964611449
sea_P(y_x),1,sudden,UOB,0.9679177278563682,0.9323991149189835
sea_P(y_x),1,sudden,CSMOTE,0.9980004192935368,0.9727060613715602
sea_P(y_x),1,sudden,RebalanceStream,1.0543390195168392,0.7492232265910634
sea_P(y_x),1,incremental,improved_OOB,1.015801914087386,1.2132523366040628
sea_P(y_x),1,incremental,WEOB1,1.0121278520387622,1.1690674461845874
sea_P(y_x),1,incremental,OOB,1.009629709919122,1.1984826607745436
sea_P(y_x),1,incremental,improved_UOB,0.9729148356029211,0.9513624735193812
sea_P(y_x),1,incremental,WEOB2,0.9751629609500033,0.935192193847018
sea_P(y_x),1,incremental,UOB,0.9700360120246865,0.9486322728785389
sea_P(y_x),1,incremental,CSMOTE,0.9953070533619215,0.9574865349612682
sea_P(y_x),1,incremental,RebalanceStream,1.0537075914768093,0.764405285149644
sea_P(y_x),3,incremental,improved_OOB,1.0154049554456157,1.0549949502865628
sea_P(y_x),3,incremental,WEOB1,1.0113478711014072,1.0478782780325178
sea_P(y_x),3,incremental,OOB,1.0063287759004458,1.0515870428985907
sea_P(y_x),3,incremental,improved_UOB,0.9972376766963363,1.0230280575249284
sea_P(y_x),3,incremental,WEOB2,0.9949533770340221,0.9737100839822281
sea_P(y_x),3,incremental,UOB,0.9726543585868709,1.0014678078895485
sea_P(y_x),3,incremental,CSMOTE,1.0060752514636757,1.0268609212205417
sea_P(y_x),3,incremental,RebalanceStream,1.0117979321349062,0.9926225113494463
sea_P(y_x),3,sudden,improved_OOB,1.014862432758519,1.057672949328275
sea_P(y_x),3,sudden,WEOB1,1.01130125404181,1.0492961551633788
sea_P(y_x),3,sudden,OOB,1.0059938294563087,1.0569889042717269
sea_P(y_x),3,sudden,improved_UOB,0.996893586531427,1.0217719035617896
sea_P(y_x),3,sudden,WEOB2,0.992602361600349,0.9582840726623906
sea_P(y_x),3,sudden,UOB,0.9728607516865997,1.0004642145150988
sea_P(y_x),3,sudden,CSMOTE,1.007954262556573,1.0345071545813538
sea_P(y_x),3,sudden,RebalanceStream,1.0117001798221181,0.9953245379415282
sea_P(y_x),2,sudden,improved_OOB,1.0156983885966009,1.1160773943675335
sea_P(y_x),2,sudden,WEOB1,1.010071919259757,1.095104811637075
sea_P(y_x),2,sudden,OOB,1.0110372426555356,1.1107976342287915
sea_P(y_x),2,sudden,improved_UOB,0.9844926593445567,1.0230493139121
sea_P(y_x),2,sudden,WEOB2,0.9889808682906496,0.9688185986584904
sea_P(y_x),2,sudden,UOB,0.9665464461577309,0.9911278537097523
sea_P(y_x),2,sudden,CSMOTE,0.995969657065602,1.0273308032809938
sea_P(y_x),2,sudden,RebalanceStream,1.0304463472315877,0.818107814508672
sea_P(y_x),2,incremental,improved_OOB,1.014877902522545,1.1085907185573949
sea_P(y_x),2,incremental,WEOB1,1.009373810966299,1.0885088867438817
sea_P(y_x),2,incremental,OOB,1.0108201932121854,1.1080576688602115
sea_P(y_x),2,incremental,improved_UOB,0.9909795150014279,1.0268772717735644
sea_P(y_x),2,incremental,WEOB2,0.9906243805963456,0.9894849749237354
sea_P(y_x),2,incremental,UOB,0.9659543834975376,0.9869067106875565
sea_P(y_x),2,incremental,CSMOTE,0.9924482495391945,1.0011643815708775
sea_P(y_x),2,incremental,RebalanceStream,1.0315733400739306,0.84220364645826
sea_P(y_x),4,incremental,improved_OOB,1.0135178437531425,1.0402076536162959
sea_P(y_x),4,incremental,WEOB1,1.0117082078796458,1.039058057296959
sea_P(y_x),4,incremental,OOB,1.0099102331673373,1.0471240766083059
sea_P(y_x),4,incremental,improved_UOB,1.0057255442187505,1.0324651904858704
sea_P(y_x),4,incremental,WEOB2,0.9885904992749315,0.9502201035851318
sea_P(y_x),4,incremental,UOB,0.9958729933579197,1.0265561788171436
sea_P(y_x),4,incremental,CSMOTE,1.0046803011393426,1.0243137244825837
sea_P(y_x),4,incremental,RebalanceStream,1.0033544970819102,1.0168244998663343
sea_P(y_x),4,sudden,improved_OOB,1.013499179615625,1.0413400678970808
sea_P(y_x),4,sudden,WEOB1,1.012339847000083,1.0392210838474265
sea_P(y_x),4,sudden,OOB,1.011028906258068,1.0527141276820262
sea_P(y_x),4,sudden,improved_UOB,1.0067640940678773,1.030866090498038
sea_P(y_x),4,sudden,WEOB2,0.9831267407330311,0.9223418447699546
sea_P(y_x),4,sudden,UOB,0.9937438991956307,1.0334974882556567
sea_P(y_x),4,sudden,CSMOTE,1.0061273099504966,1.0347077919298133
sea_P(y_x),4,sudden,RebalanceStream,1.004869202545522,1.023759515115319
sea_P(x_y),1,sudden,improved_OOB,1.037066452074246,1.253490083141724
sea_P(x_y),1,sudden,WEOB1,1.0159271987547491,1.1467384130624259
