DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,4.874712562,1.2044383458339692E-5,5000.0,78.82723091328057,0.0,37.16502980723654,0.0,88.16020972947526,?,100.0,0.0,70.71067811865476,5000.0,9550952.0
10000.0,8.60876554,1.2302166934990294E-5,10000.0,84.11267407787628,0.0,39.90529375765996,0.0,91.3708678657268,?,100.0,0.0,70.71067811865476,10000.0,266856.0
15000.0,19.908333169,1.3129644768007454E-5,15000.0,50.90396490039018,1.2466241417125656,-46.86532941263122,-154.6706439897068,63.39737743772316,31.47397765307933,51.740428902661186,55.227782370482004,51.71271876268526,15000.0,283072.0
20000.0,35.342035031,1.4280471472977286E-5,20000.0,55.32936534099952,13.271662580069787,-43.51573683976711,-132.95115714454482,64.74065483473645,35.343038710239185,51.62669836366981,63.68782936135704,53.69230106007444,20000.0,288232.0
25000.0,51.196759653,1.5526185297900142E-5,25000.0,51.85763665949759,4.0417198467439075,-79.14009384176744,-182.86910009647534,63.944060708862494,29.431468531624617,51.40412101995895,52.66435890639175,51.00697989646875,25000.0,303712.0
30000.0,69.953172688,1.7074999830730347E-5,30000.0,51.34417025542742,6.454416378630206,-54.37762896927093,-143.0739221066326,61.68497238546703,32.75147009921369,49.03566256466825,58.43443592820454,51.833892988293094,30000.0,319192.0
35000.0,85.550920503,1.84255478980388E-5,35000.0,55.4342380847467,7.620156485773601,-23.08771068816667,-85.39102124194198,65.9558214525525,34.39382256713422,56.238146195968206,51.14718197446104,51.8134461724052,35000.0,334696.0
40000.0,101.95789376,1.991197029756376E-5,40000.0,55.67138577691825,3.648525311688157,-28.801443619981608,-121.57916321445606,67.16845492589661,29.140669213656757,57.23581742982344,48.24377202433335,51.35162837100611,40000.0,350200.0
45000.0,120.506864873,2.1666734081192567E-5,45000.0,55.223065642685235,1.6742981298284874,-44.82749385756987,-146.89550597152018,67.91422760666266,28.821165810427964,57.41412491739053,51.16798332142236,52.101369521062715,45000.0,365680.0
50000.0,137.862694484,2.3354961121506994E-5,50000.0,55.556493972807964,3.362412826763001,-41.836232108498564,-129.9105710109516,68.31353734025754,33.18078329906907,58.20342979759504,52.81430378677419,52.68247658955708,50000.0,376000.0
