drift,unbalance,type,alg,Time,Mem
sea_P(y),4,sudden,ESOS_ELM,310.4380203391,6565255168.0
sea_P(y),4,sudden,improved_UOB,6.323902200000001,569542246.4
sea_P(y),4,sudden,WEOB2,19.0576506,783056896.0
sea_P(y),4,sudden,UOB,9.787667800000001,500853666.90909094
sea_P(y),4,sudden,RebalanceStream,19.0844525,4592658841.6
sea_P(y_x),1,sudden,improved_OOB,10.1505172,628782694.4
sea_P(y_x),1,sudden,WEOB1,13.029453799999999,614505676.8
sea_P(y_x),1,sudden,OOB,10.8277687,488529175.27272725
sea_P(y_x),1,sudden,ESOS_ELM,333.92580430460004,5758316953.6
sea_P(y_x),1,sudden,improved_UOB,4.1162902,346000384.0
sea_P(y_x),1,sudden,WEOB2,16.151363500000002,614505676.8
sea_P(y_x),1,sudden,UOB,4.3733509,285833898.6666667
sea_P(y_x),1,sudden,RebalanceStream,31.7366488,2855277772.8
sea_P(y_x),1,incremental,improved_OOB,10.423223,626176409.6
sea_P(y_x),1,incremental,WEOB1,13.6918734,546922086.4
sea_P(y_x),1,incremental,OOB,10.7193267,627590348.8
sea_P(y_x),1,incremental,ESOS_ELM,331.6676649313,7198774476.8
sea_P(y_x),1,incremental,improved_UOB,4.0785179,290940245.3333333
sea_P(y_x),1,incremental,WEOB2,15.9181834,546922086.4
sea_P(y_x),1,incremental,UOB,4.4605102,291065173.3333333
sea_P(y_x),1,incremental,RebalanceStream,31.125965099999995,2844042854.4
sea_P(y_x),3,incremental,improved_OOB,8.3264117,472707413.3333333
sea_P(y_x),3,incremental,WEOB1,12.3156535,657310105.6
sea_P(y_x),3,incremental,OOB,10.3232063,556565708.8
sea_P(y_x),3,incremental,ESOS_ELM,328.5769007305,6524276326.4
sea_P(y_x),3,incremental,improved_UOB,5.9206474,327886661.8181818
sea_P(y_x),3,incremental,WEOB2,16.7674218,657310105.6
sea_P(y_x),3,incremental,UOB,5.9794447,398956134.4
sea_P(y_x),3,incremental,RebalanceStream,27.657712499999995,2842725171.2
sea_P(y_x),3,sudden,improved_OOB,7.3793486,545518387.2
sea_P(y_x),3,sudden,WEOB1,10.771198600000002,633510707.2
sea_P(y_x),3,sudden,OOB,11.540070400000001,598686105.6
sea_P(y_x),3,sudden,ESOS_ELM,332.00136151239997,6360139776.0
sea_P(y_x),3,sudden,improved_UOB,5.143707999999999,340045824.0
sea_P(y_x),3,sudden,WEOB2,17.4897496,633510707.2
