instances,drift,unbalance,type,alg,Kappa
55000,sea_P(y),1,incremental,WEOB2,97.18875502008032
60000,sea_P(y),1,incremental,WEOB2,92.77504105090311
65000,sea_P(y),1,incremental,WEOB2,90.82733812949641
70000,sea_P(y),1,incremental,WEOB2,90.48507462686567
75000,sea_P(y),1,incremental,WEOB2,90.25096525096525
80000,sea_P(y),1,incremental,WEOB2,89.65111720893766
85000,sea_P(y),1,incremental,WEOB2,89.28571428571425
90000,sea_P(y),1,incremental,WEOB2,89.70380818053594
95000,sea_P(y),1,incremental,WEOB2,89.80093389039074
100000,sea_P(y),1,incremental,WEOB2,89.78742055665133
5000,sea_P(y),1,incremental,UOB,92.97098487944423
10000,sea_P(y),1,incremental,UOB,94.93236422370282
15000,sea_P(y),1,incremental,UOB,95.78734858681023
20000,sea_P(y),1,incremental,UOB,96.38985477602782
25000,sea_P(y),1,incremental,UOB,96.77340103185654
30000,sea_P(y),1,incremental,UOB,97.04664267771066
35000,sea_P(y),1,incremental,UOB,97.28785938773136
40000,sea_P(y),1,incremental,UOB,97.48245346353372
45000,sea_P(y),1,incremental,UOB,97.6277040538084
50000,sea_P(y),1,incremental,UOB,98.23376623376623
55000,sea_P(y),1,incremental,UOB,97.89156626506023
60000,sea_P(y),1,incremental,UOB,96.38752052545159
65000,sea_P(y),1,incremental,UOB,95.4136690647482
70000,sea_P(y),1,incremental,UOB,96.08208955223883
75000,sea_P(y),1,incremental,UOB,96.47683397683396
80000,sea_P(y),1,incremental,UOB,96.58957271658169
85000,sea_P(y),1,incremental,UOB,96.82539682539685
90000,sea_P(y),1,incremental,UOB,96.89703808180538
95000,sea_P(y),1,incremental,UOB,97.02629638731868
100000,sea_P(y),1,incremental,UOB,97.21674337058958
5000,sea_P(y),1,incremental,CSMOTE,92.88925214548428
10000,sea_P(y),1,incremental,CSMOTE,94.58913789622451
15000,sea_P(y),1,incremental,CSMOTE,95.41049798115748
20000,sea_P(y),1,incremental,CSMOTE,95.8273675598282
25000,sea_P(y),1,incremental,CSMOTE,96.1182540332487
30000,sea_P(y),1,incremental,CSMOTE,96.21155543485644
35000,sea_P(y),1,incremental,CSMOTE,96.40321266441627
40000,sea_P(y),1,incremental,CSMOTE,96.64835723731058
45000,sea_P(y),1,incremental,CSMOTE,96.79149245591712
50000,sea_P(y),1,incremental,CSMOTE,97.2987012987013
55000,sea_P(y),1,incremental,CSMOTE,96.92101740294513
60000,sea_P(y),1,incremental,CSMOTE,92.11822660098518
65000,sea_P(y),1,incremental,CSMOTE,91.63669064748207
70000,sea_P(y),1,incremental,CSMOTE,92.41293532338308
75000,sea_P(y),1,incremental,CSMOTE,92.7606177606178
80000,sea_P(y),1,incremental,CSMOTE,92.82634261074091
85000,sea_P(y),1,incremental,CSMOTE,92.79100529100529
90000,sea_P(y),1,incremental,CSMOTE,93.00423131170668
95000,sea_P(y),1,incremental,CSMOTE,93.1678545097075
100000,sea_P(y),1,incremental,CSMOTE,93.60070129300901
5000,sea_P(y),1,incremental,RebalanceStream,92.93011851246423
10000,sea_P(y),1,incremental,RebalanceStream,94.77084595194832
15000,sea_P(y),1,incremental,RebalanceStream,95.53162853297442
20000,sea_P(y),1,incremental,RebalanceStream,95.92963796277355
25000,sea_P(y),1,incremental,RebalanceStream,96.22471542052246
30000,sea_P(y),1,incremental,RebalanceStream,96.44918188607508
35000,sea_P(y),1,incremental,RebalanceStream,96.67675474333603
40000,sea_P(y),1,incremental,RebalanceStream,96.87213915166309
45000,sea_P(y),1,incremental,RebalanceStream,96.97327758589347
50000,sea_P(y),1,incremental,RebalanceStream,97.2987012987013
55000,sea_P(y),1,incremental,RebalanceStream,96.98795180722891
60000,sea_P(y),1,incremental,RebalanceStream,93.26765188834155
65000,sea_P(y),1,incremental,RebalanceStream,92.44604316546767
70000,sea_P(y),1,incremental,RebalanceStream,93.22139303482591
75000,sea_P(y),1,incremental,RebalanceStream,93.72586872586876
80000,sea_P(y),1,incremental,RebalanceStream,93.8063504508036
85000,sea_P(y),1,incremental,RebalanceStream,93.98148148148151
90000,sea_P(y),1,incremental,RebalanceStream,94.18899858956276
95000,sea_P(y),1,incremental,RebalanceStream,94.37208159252887
100000,sea_P(y),1,incremental,RebalanceStream,94.63072539995615
5000,sea_P(y),3,incremental,improved_OOB,58.47977114834488
10000,sea_P(y),3,incremental,improved_OOB,61.80092873006258
15000,sea_P(y),3,incremental,improved_OOB,63.59353970390309
20000,sea_P(y),3,incremental,improved_OOB,63.99059112292902
25000,sea_P(y),3,incremental,improved_OOB,64.70684572551589
30000,sea_P(y),3,incremental,improved_OOB,65.00339443312967
35000,sea_P(y),3,incremental,improved_OOB,65.61717977070361
40000,sea_P(y),3,incremental,improved_OOB,65.96155801891588
45000,sea_P(y),3,incremental,improved_OOB,66.20745910182623
50000,sea_P(y),3,incremental,improved_OOB,67.98383475527616
55000,sea_P(y),3,incremental,improved_OOB,67.47765640516387
60000,sea_P(y),3,incremental,improved_OOB,63.07592472420505
65000,sea_P(y),3,incremental,improved_OOB,63.03553636665562
70000,sea_P(y),3,incremental,improved_OOB,62.458324072016
75000,sea_P(y),3,incremental,improved_OOB,63.07666498909579
80000,sea_P(y),3,incremental,improved_OOB,63.15084995315219
85000,sea_P(y),3,incremental,improved_OOB,63.409192324855
90000,sea_P(y),3,incremental,improved_OOB,63.38729763387299
95000,sea_P(y),3,incremental,improved_OOB,63.34060036894182
100000,sea_P(y),3,incremental,improved_OOB,63.37209302325583
5000,sea_P(y),3,incremental,WEOB1,59.215365753984464
10000,sea_P(y),3,incremental,WEOB1,62.64889965677365
15000,sea_P(y),3,incremental,WEOB1,64.185733512786
20000,sea_P(y),3,incremental,WEOB1,64.42012681529965
25000,sea_P(y),3,incremental,WEOB1,65.05076973468718
30000,sea_P(y),3,incremental,WEOB1,65.31568228105905
35000,sea_P(y),3,incremental,WEOB1,65.84414828609671
40000,sea_P(y),3,incremental,WEOB1,66.16495474422864
45000,sea_P(y),3,incremental,WEOB1,66.37966193864142
50000,sea_P(y),3,incremental,WEOB1,68.11854512797484
55000,sea_P(y),3,incremental,WEOB1,67.40317775571006
60000,sea_P(y),3,incremental,WEOB1,62.81635301752109
65000,sea_P(y),3,incremental,WEOB1,62.437728329458665
70000,sea_P(y),3,incremental,WEOB1,61.74705490108913
75000,sea_P(y),3,incremental,WEOB1,62.20432813286361
80000,sea_P(y),3,incremental,WEOB1,62.33435952349082
85000,sea_P(y),3,incremental,WEOB1,62.58366800535474
90000,sea_P(y),3,incremental,WEOB1,62.611361241498244
95000,sea_P(y),3,incremental,WEOB1,62.58594667113867
100000,sea_P(y),3,incremental,WEOB1,62.67143709004175
5000,sea_P(y),3,incremental,OOB,59.25623212096444
10000,sea_P(y),3,incremental,OOB,62.467191601049876
15000,sea_P(y),3,incremental,OOB,64.11843876177659
20000,sea_P(y),3,incremental,OOB,64.30762937205974
25000,sea_P(y),3,incremental,OOB,64.93612839829677
30000,sea_P(y),3,incremental,OOB,65.21384928716905
35000,sea_P(y),3,incremental,OOB,65.67537682593262
40000,sea_P(y),3,incremental,OOB,65.99206752771282
45000,sea_P(y),3,incremental,OOB,66.18933248742469
50000,sea_P(y),3,incremental,OOB,67.53480017961384
55000,sea_P(y),3,incremental,OOB,66.50943396226417
60000,sea_P(y),3,incremental,OOB,60.73977936404934
65000,sea_P(y),3,incremental,OOB,60.511457987379615
70000,sea_P(y),3,incremental,OOB,59.94665481218048
75000,sea_P(y),3,incremental,OOB,60.64418721690993
80000,sea_P(y),3,incremental,OOB,60.83522955427652
85000,sea_P(y),3,incremental,OOB,61.1557340473003
90000,sea_P(y),3,incremental,OOB,61.25107768943386
95000,sea_P(y),3,incremental,OOB,61.269495220526565
100000,sea_P(y),3,incremental,OOB,61.39683959451399
5000,sea_P(y),3,incremental,ESOS_ELM,-3.1467102574581287
10000,sea_P(y),3,incremental,ESOS_ELM,-1.3123359580052618
15000,sea_P(y),3,incremental,ESOS_ELM,21.305518169582765
20000,sea_P(y),3,incremental,ESOS_ELM,31.176109633871967
25000,sea_P(y),3,incremental,ESOS_ELM,37.859482476252865
30000,sea_P(y),3,incremental,ESOS_ELM,42.32111337406653
35000,sea_P(y),3,incremental,ESOS_ELM,45.62532735843567
40000,sea_P(y),3,incremental,ESOS_ELM,48.01484796094784
45000,sea_P(y),3,incremental,ESOS_ELM,49.780214800380655
50000,sea_P(y),3,incremental,ESOS_ELM,62.96811854512797
55000,sea_P(y),3,incremental,ESOS_ELM,60.85402184707052
60000,sea_P(y),3,incremental,ESOS_ELM,53.80272550292018
65000,sea_P(y),3,incremental,ESOS_ELM,52.95250747260047
70000,sea_P(y),3,incremental,ESOS_ELM,52.28272949544346
75000,sea_P(y),3,incremental,ESOS_ELM,52.788122798188226
80000,sea_P(y),3,incremental,ESOS_ELM,52.98487484941775
85000,sea_P(y),3,incremental,ESOS_ELM,53.55756358768407
90000,sea_P(y),3,incremental,ESOS_ELM,53.6833029983715
95000,sea_P(y),3,incremental,ESOS_ELM,53.625691765889655
100000,sea_P(y),3,incremental,ESOS_ELM,53.85137149672033
5000,sea_P(y),3,incremental,improved_UOB,58.76583571720472
10000,sea_P(y),3,incremental,improved_UOB,62.08358570563295
15000,sea_P(y),3,incremental,improved_UOB,63.755047106325705
20000,sea_P(y),3,incremental,improved_UOB,64.0314992841072
25000,sea_P(y),3,incremental,improved_UOB,64.69046839174585
30000,sea_P(y),3,incremental,improved_UOB,65.01018329938903
35000,sea_P(y),3,incremental,improved_UOB,65.50078566024558
40000,sea_P(y),3,incremental,improved_UOB,65.7683311298688
45000,sea_P(y),3,incremental,improved_UOB,65.96728146100511
50000,sea_P(y),3,incremental,improved_UOB,67.8940278401437
55000,sea_P(y),3,incremental,improved_UOB,66.90665342601788
60000,sea_P(y),3,incremental,improved_UOB,61.32381570408826
65000,sea_P(y),3,incremental,improved_UOB,60.71072733311193
70000,sea_P(y),3,incremental,improved_UOB,59.857746165814646
75000,sea_P(y),3,incremental,improved_UOB,60.291897332662316
80000,sea_P(y),3,incremental,improved_UOB,60.500602329005474
85000,sea_P(y),3,incremental,improved_UOB,60.8433734939759
