instances,drift,unbalance,type,alg,Recall_0,Recall_1
5000,sea_P(y),1,sudden,improved_OOB,9.539579967689823,9.797939778129955
10000,sea_P(y),1,sudden,improved_OOB,9.65074267362505,9.874451972897567
15000,sea_P(y),1,sudden,improved_OOB,9.70274593441749,9.911976527073886
20000,sea_P(y),1,sudden,improved_OOB,9.740725967291585,9.931809065383073
25000,sea_P(y),1,sudden,improved_OOB,9.762663268556866,9.943747990999679
30000,sea_P(y),1,sudden,improved_OOB,9.775901050671632,9.951209731319342
35000,sea_P(y),1,sudden,improved_OOB,9.79184439515441,9.95636447149337
40000,sea_P(y),1,sudden,improved_OOB,9.807902856574104,9.960815834421783
45000,sea_P(y),1,sudden,improved_OOB,9.816663721505565,9.964675371132175
50000,sea_P(y),1,sudden,improved_OOB,9.826920781442723,9.967024570716209
55000,sea_P(y),1,sudden,improved_OOB,9.937833037300177,9.979838709677418
60000,sea_P(y),1,sudden,improved_OOB,9.944518419884597,9.979757085020243
65000,sea_P(y),1,sudden,improved_OOB,9.947508502144021,9.966078697421981
70000,sea_P(y),1,sudden,improved_OOB,9.953970718722271,9.969512195121952
75000,sea_P(y),1,sudden,improved_OOB,9.957903132893161,9.975339087546239
80000,sea_P(y),1,sudden,improved_OOB,9.961237448316597,9.972527472527473
85000,sea_P(y),1,sudden,improved_OOB,9.961727028309348,9.970457902511079
90000,sea_P(y),1,sudden,improved_OOB,9.962597661661219,9.969278033794161
95000,sea_P(y),1,sudden,improved_OOB,9.963519842247965,9.970654627539503
100000,sea_P(y),1,sudden,improved_OOB,9.96472780513776,9.973587972368957
5000,sea_P(y),1,sudden,WEOB1,9.519386106623587,9.80190174326466
10000,sea_P(y),1,sudden,WEOB1,9.620634283420314,9.880430450378638
15000,sea_P(y),1,sudden,WEOB1,9.68275126632898,9.914643905041343
20000,sea_P(y),1,sudden,WEOB1,9.720781810929397,9.934817488969113
25000,sea_P(y),1,sudden,WEOB1,9.742752468939152,9.946962391513981
30000,sea_P(y),1,sudden,WEOB1,9.761271445670967,9.955219890388985
35000,sea_P(y),1,sudden,WEOB1,9.778763578456463,9.960383533329503
40000,sea_P(y),1,sudden,WEOB1,9.796456653727478,9.965337084296193
45000,sea_P(y),1,sudden,WEOB1,9.804735819049302,9.969146843140763
50000,sea_P(y),1,sudden,WEOB1,9.81498428361119,9.971448103912817
55000,sea_P(y),1,sudden,WEOB1,9.933392539964474,9.979838709677418
60000,sea_P(y),1,sudden,WEOB1,9.938970261873056,9.989878542510121
65000,sea_P(y),1,sudden,WEOB1,9.937158065947063,9.993215739484395
