instances,drift,unbalance,type,alg,Fscore_min
65000,sine_P(y_x),1,incremental,WEOB2,2.242829415570412
70000,sine_P(y_x),1,incremental,WEOB2,3.6393345216874637
75000,sine_P(y_x),1,incremental,WEOB2,6.773101112723753
80000,sine_P(y_x),1,incremental,WEOB2,9.912318220701453
85000,sine_P(y_x),1,incremental,WEOB2,12.44741041636443
90000,sine_P(y_x),1,incremental,WEOB2,15.207210391446498
95000,sine_P(y_x),1,incremental,WEOB2,18.508253009556118
100000,sine_P(y_x),1,incremental,WEOB2,21.469326722543578
5000,sine_P(y_x),1,incremental,UOB,85.91269841269842
10000,sine_P(y_x),1,incremental,UOB,86.66666666666666
15000,sine_P(y_x),1,incremental,UOB,87.6184459886292
20000,sine_P(y_x),1,incremental,UOB,88.11648661343352
25000,sine_P(y_x),1,incremental,UOB,88.77919119043098
30000,sine_P(y_x),1,incremental,UOB,89.40019041574102
35000,sine_P(y_x),1,incremental,UOB,89.6900177522873
40000,sine_P(y_x),1,incremental,UOB,89.77420498876937
45000,sine_P(y_x),1,incremental,UOB,87.48979591836734
50000,sine_P(y_x),1,incremental,UOB,32.235084594835264
55000,sine_P(y_x),1,incremental,UOB,16.560091818330875
60000,sine_P(y_x),1,incremental,UOB,25.438269302499066
65000,sine_P(y_x),1,incremental,UOB,41.71341152473229
70000,sine_P(y_x),1,incremental,UOB,51.301261829653
75000,sine_P(y_x),1,incremental,UOB,57.06857328566787
80000,sine_P(y_x),1,incremental,UOB,61.69416331623457
85000,sine_P(y_x),1,incremental,UOB,65.16527424627678
90000,sine_P(y_x),1,incremental,UOB,68.31662043951356
95000,sine_P(y_x),1,incremental,UOB,70.80639026245719
100000,sine_P(y_x),1,incremental,UOB,72.66286504233628
5000,sine_P(y_x),1,incremental,CSMOTE,74.40585009140769
10000,sine_P(y_x),1,incremental,CSMOTE,81.37024870952605
15000,sine_P(y_x),1,incremental,CSMOTE,84.50974129671033
20000,sine_P(y_x),1,incremental,CSMOTE,83.91408114558473
25000,sine_P(y_x),1,incremental,CSMOTE,84.58544180615026
30000,sine_P(y_x),1,incremental,CSMOTE,84.31214802896217
35000,sine_P(y_x),1,incremental,CSMOTE,83.96862529241777
40000,sine_P(y_x),1,incremental,CSMOTE,84.1273641369404
45000,sine_P(y_x),1,incremental,CSMOTE,81.91721132897604
50000,sine_P(y_x),1,incremental,CSMOTE,29.32038834951457
55000,sine_P(y_x),1,incremental,CSMOTE,19.926518262373033
60000,sine_P(y_x),1,incremental,CSMOTE,31.84609087187884
65000,sine_P(y_x),1,incremental,CSMOTE,36.25962596259626
70000,sine_P(y_x),1,incremental,CSMOTE,41.30786662350274
75000,sine_P(y_x),1,incremental,CSMOTE,42.053728345468244
80000,sine_P(y_x),1,incremental,CSMOTE,44.44678387198654
85000,sine_P(y_x),1,incremental,CSMOTE,45.501885437241874
90000,sine_P(y_x),1,incremental,CSMOTE,46.790986790986786
95000,sine_P(y_x),1,incremental,CSMOTE,48.73117679866146
100000,sine_P(y_x),1,incremental,CSMOTE,50.28739302592924
5000,sine_P(y_x),1,incremental,RebalanceStream,79.58236658932718
10000,sine_P(y_x),1,incremental,RebalanceStream,85.05358150028201
15000,sine_P(y_x),1,incremental,RebalanceStream,87.68656716417911
20000,sine_P(y_x),1,incremental,RebalanceStream,88.98727172108467
25000,sine_P(y_x),1,incremental,RebalanceStream,89.87566607460033
30000,sine_P(y_x),1,incremental,RebalanceStream,90.97605893186004
35000,sine_P(y_x),1,incremental,RebalanceStream,91.59703610279048
40000,sine_P(y_x),1,incremental,RebalanceStream,91.78193653376728
45000,sine_P(y_x),1,incremental,RebalanceStream,89.24191099170659
50000,sine_P(y_x),1,incremental,RebalanceStream,26.993865030674847
55000,sine_P(y_x),1,incremental,RebalanceStream,17.011494252873568
60000,sine_P(y_x),1,incremental,RebalanceStream,21.366024518388794
65000,sine_P(y_x),1,incremental,RebalanceStream,57.57785467128029
70000,sine_P(y_x),1,incremental,RebalanceStream,70.53872053872054
75000,sine_P(y_x),1,incremental,RebalanceStream,76.71485696708704
80000,sine_P(y_x),1,incremental,RebalanceStream,80.70091214594335
85000,sine_P(y_x),1,incremental,RebalanceStream,83.45125786163521
90000,sine_P(y_x),1,incremental,RebalanceStream,85.5737704918033
95000,sine_P(y_x),1,incremental,RebalanceStream,87.22627737226277
100000,sine_P(y_x),1,incremental,RebalanceStream,88.28918049022036
5000,sine_P(y_x),2,incremental,improved_OOB,93.70892018779342
10000,sine_P(y_x),2,incremental,improved_OOB,95.53592742898068
15000,sine_P(y_x),2,incremental,improved_OOB,96.40942323314378
20000,sine_P(y_x),2,incremental,improved_OOB,96.86197597450357
25000,sine_P(y_x),2,incremental,improved_OOB,97.23046488625121
30000,sine_P(y_x),2,incremental,improved_OOB,97.48818701815469
35000,sine_P(y_x),2,incremental,improved_OOB,97.68105601141635
40000,sine_P(y_x),2,incremental,improved_OOB,97.63690922730684
45000,sine_P(y_x),2,incremental,improved_OOB,95.89297511561331
50000,sine_P(y_x),2,incremental,improved_OOB,47.52252252252253
55000,sine_P(y_x),2,incremental,improved_OOB,46.73728813559323
60000,sine_P(y_x),2,incremental,improved_OOB,83.85608856088561
65000,sine_P(y_x),2,incremental,improved_OOB,89.40493468795354
70000,sine_P(y_x),2,incremental,improved_OOB,92.1719235169145
75000,sine_P(y_x),2,incremental,improved_OOB,93.72052618515761
80000,sine_P(y_x),2,incremental,improved_OOB,94.70735367683842
85000,sine_P(y_x),2,incremental,improved_OOB,95.4446491374979
90000,sine_P(y_x),2,incremental,improved_OOB,95.9124928036845
95000,sine_P(y_x),2,incremental,improved_OOB,96.31678189817727
100000,sine_P(y_x),2,incremental,improved_OOB,96.68028886525222
5000,sine_P(y_x),2,incremental,WEOB1,92.42843951985228
10000,sine_P(y_x),2,incremental,WEOB1,94.51118963486455
15000,sine_P(y_x),2,incremental,WEOB1,95.6256030878096
20000,sine_P(y_x),2,incremental,WEOB1,96.16504854368931
25000,sine_P(y_x),2,incremental,WEOB1,96.55307481394438
30000,sine_P(y_x),2,incremental,WEOB1,96.89553219448094
35000,sine_P(y_x),2,incremental,WEOB1,97.16307039264237
40000,sine_P(y_x),2,incremental,WEOB1,97.13010599392551
45000,sine_P(y_x),2,incremental,WEOB1,95.80171425451768
50000,sine_P(y_x),2,incremental,WEOB1,48.931623931623925
55000,sine_P(y_x),2,incremental,WEOB1,42.94390853876384
60000,sine_P(y_x),2,incremental,WEOB1,83.24965769055224
65000,sine_P(y_x),2,incremental,WEOB1,88.4688995215311
70000,sine_P(y_x),2,incremental,WEOB1,91.3823767178658
75000,sine_P(y_x),2,incremental,WEOB1,93.07928703134603
80000,sine_P(y_x),2,incremental,WEOB1,94.1573256621367
85000,sine_P(y_x),2,incremental,WEOB1,94.87669185418916
90000,sine_P(y_x),2,incremental,WEOB1,95.39581697480195
95000,sine_P(y_x),2,incremental,WEOB1,95.84138662011347
100000,sine_P(y_x),2,incremental,WEOB1,96.2222222222222
5000,sine_P(y_x),2,incremental,OOB,93.83177570093459
10000,sine_P(y_x),2,incremental,OOB,95.46210501306724
15000,sine_P(y_x),2,incremental,OOB,96.44128113879003
20000,sine_P(y_x),2,incremental,OOB,96.94898706370513
25000,sine_P(y_x),2,incremental,OOB,97.27335367654295
30000,sine_P(y_x),2,incremental,OOB,97.52556911910258
35000,sine_P(y_x),2,incremental,OOB,97.73582227269502
40000,sine_P(y_x),2,incremental,OOB,97.63799104922923
45000,sine_P(y_x),2,incremental,OOB,95.80557072637905
50000,sine_P(y_x),2,incremental,OOB,47.88833214030064
55000,sine_P(y_x),2,incremental,OOB,46.14572333685322
60000,sine_P(y_x),2,incremental,OOB,82.99015219337512
65000,sine_P(y_x),2,incremental,OOB,88.42254185333648
70000,sine_P(y_x),2,incremental,OOB,91.46146466261595
75000,sine_P(y_x),2,incremental,OOB,93.11731026921669
80000,sine_P(y_x),2,incremental,OOB,94.21259842519683
85000,sine_P(y_x),2,incremental,OOB,94.9418268834062
90000,sine_P(y_x),2,incremental,OOB,95.46325878594249
95000,sine_P(y_x),2,incremental,OOB,95.93788819875775
100000,sine_P(y_x),2,incremental,OOB,96.32295935319527
5000,sine_P(y_x),2,incremental,ESOS_ELM,0.0
10000,sine_P(y_x),2,incremental,ESOS_ELM,0.0
15000,sine_P(y_x),2,incremental,ESOS_ELM,47.47366297630888
20000,sine_P(y_x),2,incremental,ESOS_ELM,63.581021533233105
25000,sine_P(y_x),2,incremental,ESOS_ELM,70.9326838422125
30000,sine_P(y_x),2,incremental,ESOS_ELM,75.32346082041548
35000,sine_P(y_x),2,incremental,ESOS_ELM,78.39187023225757
40000,sine_P(y_x),2,incremental,ESOS_ELM,80.57855672234874
45000,sine_P(y_x),2,incremental,ESOS_ELM,80.90493598842792
50000,sine_P(y_x),2,incremental,ESOS_ELM,47.02579227055913
55000,sine_P(y_x),2,incremental,ESOS_ELM,47.00329825418089
60000,sine_P(y_x),2,incremental,ESOS_ELM,78.19834756043306
65000,sine_P(y_x),2,incremental,ESOS_ELM,83.99706925197536
70000,sine_P(y_x),2,incremental,ESOS_ELM,87.6925080950419
75000,sine_P(y_x),2,incremental,ESOS_ELM,89.56089910527933
80000,sine_P(y_x),2,incremental,ESOS_ELM,90.67146319925489
85000,sine_P(y_x),2,incremental,ESOS_ELM,91.37620208265987
90000,sine_P(y_x),2,incremental,ESOS_ELM,92.09215229880142
95000,sine_P(y_x),2,incremental,ESOS_ELM,92.72064856107606
100000,sine_P(y_x),2,incremental,ESOS_ELM,93.12325606590232
5000,sine_P(y_x),2,incremental,improved_UOB,88.9388489208633
10000,sine_P(y_x),2,incremental,improved_UOB,91.36939010356731
15000,sine_P(y_x),2,incremental,improved_UOB,93.1606381298373
20000,sine_P(y_x),2,incremental,improved_UOB,93.8692748091603
25000,sine_P(y_x),2,incremental,improved_UOB,94.18436989330003
30000,sine_P(y_x),2,incremental,improved_UOB,94.57476823861349
35000,sine_P(y_x),2,incremental,improved_UOB,94.90206973190722
40000,sine_P(y_x),2,incremental,improved_UOB,94.95281582952816
45000,sine_P(y_x),2,incremental,improved_UOB,93.85366901068228
50000,sine_P(y_x),2,incremental,improved_UOB,48.95251396648043
55000,sine_P(y_x),2,incremental,improved_UOB,34.50566037735849
60000,sine_P(y_x),2,incremental,improved_UOB,80.79120879120877
65000,sine_P(y_x),2,incremental,improved_UOB,85.68794653145888
70000,sine_P(y_x),2,incremental,improved_UOB,88.55487709409738
75000,sine_P(y_x),2,incremental,improved_UOB,90.18624641833811
80000,sine_P(y_x),2,incremental,improved_UOB,91.43574394129574
85000,sine_P(y_x),2,incremental,improved_UOB,92.20684632192277
90000,sine_P(y_x),2,incremental,improved_UOB,92.83276450511946
95000,sine_P(y_x),2,incremental,improved_UOB,93.40398319020646
100000,sine_P(y_x),2,incremental,improved_UOB,93.82635608405279
5000,sine_P(y_x),2,incremental,WEOB2,87.28246318607763
10000,sine_P(y_x),2,incremental,WEOB2,90.02510842273453
15000,sine_P(y_x),2,incremental,WEOB2,92.06149984311264
20000,sine_P(y_x),2,incremental,WEOB2,92.90368439758322
25000,sine_P(y_x),2,incremental,WEOB2,93.51692484222602
30000,sine_P(y_x),2,incremental,WEOB2,93.95251844722489
35000,sine_P(y_x),2,incremental,WEOB2,94.2582740274995
40000,sine_P(y_x),2,incremental,WEOB2,94.22017793378927
45000,sine_P(y_x),2,incremental,WEOB2,93.10492048244211
50000,sine_P(y_x),2,incremental,WEOB2,48.605299860529996
55000,sine_P(y_x),2,incremental,WEOB2,27.991422444603295
60000,sine_P(y_x),2,incremental,WEOB2,3.219490972373287
65000,sine_P(y_x),2,incremental,WEOB2,2.919170857353122
70000,sine_P(y_x),2,incremental,WEOB2,10.184312044577796
75000,sine_P(y_x),2,incremental,WEOB2,16.302268379338617
80000,sine_P(y_x),2,incremental,WEOB2,21.382189239332096
85000,sine_P(y_x),2,incremental,WEOB2,26.3373222870001
90000,sine_P(y_x),2,incremental,WEOB2,31.492168178070905
95000,sine_P(y_x),2,incremental,WEOB2,36.23794345324337
100000,sine_P(y_x),2,incremental,WEOB2,40.289240554251535
5000,sine_P(y_x),2,incremental,UOB,89.57771787960469
10000,sine_P(y_x),2,incremental,UOB,91.2519881845035
15000,sine_P(y_x),2,incremental,UOB,92.63813229571984
20000,sine_P(y_x),2,incremental,UOB,93.3427428840273
25000,sine_P(y_x),2,incremental,UOB,93.79271070615036
30000,sine_P(y_x),2,incremental,UOB,94.16447735052942
35000,sine_P(y_x),2,incremental,UOB,94.50504218975097
40000,sine_P(y_x),2,incremental,UOB,94.53101498104809
45000,sine_P(y_x),2,incremental,UOB,93.40974212034384
50000,sine_P(y_x),2,incremental,UOB,48.91789762968051
55000,sine_P(y_x),2,incremental,UOB,33.52899069434502
60000,sine_P(y_x),2,incremental,UOB,77.22132471728594
65000,sine_P(y_x),2,incremental,UOB,82.09437621202326
70000,sine_P(y_x),2,incremental,UOB,85.48196333530453
75000,sine_P(y_x),2,incremental,UOB,87.7228847245883
80000,sine_P(y_x),2,incremental,UOB,89.29132403215375
85000,sine_P(y_x),2,incremental,UOB,90.43017456359101
90000,sine_P(y_x),2,incremental,UOB,91.22381625917694
95000,sine_P(y_x),2,incremental,UOB,91.92032626041727
100000,sine_P(y_x),2,incremental,UOB,92.49960357312757
5000,sine_P(y_x),2,incremental,CSMOTE,90.12915129151293
10000,sine_P(y_x),2,incremental,CSMOTE,91.88687992582291
15000,sine_P(y_x),2,incremental,CSMOTE,92.85262492093612
20000,sine_P(y_x),2,incremental,CSMOTE,93.69024856596559
25000,sine_P(y_x),2,incremental,CSMOTE,94.24377052346917
30000,sine_P(y_x),2,incremental,CSMOTE,94.76673427991886
35000,sine_P(y_x),2,incremental,CSMOTE,95.21477543025047
40000,sine_P(y_x),2,incremental,CSMOTE,95.30415566877413
45000,sine_P(y_x),2,incremental,CSMOTE,93.52176492798962
50000,sine_P(y_x),2,incremental,CSMOTE,45.52677029360968
55000,sine_P(y_x),2,incremental,CSMOTE,31.952846285093848
60000,sine_P(y_x),2,incremental,CSMOTE,66.2865830482706
65000,sine_P(y_x),2,incremental,CSMOTE,71.8196457326892
70000,sine_P(y_x),2,incremental,CSMOTE,74.3980071962358
75000,sine_P(y_x),2,incremental,CSMOTE,75.95016891891893
80000,sine_P(y_x),2,incremental,CSMOTE,77.01937918024352
85000,sine_P(y_x),2,incremental,CSMOTE,76.84743105536948
90000,sine_P(y_x),2,incremental,CSMOTE,77.89577673499629
95000,sine_P(y_x),2,incremental,CSMOTE,78.73887562405038
100000,sine_P(y_x),2,incremental,CSMOTE,79.6221453961143
5000,sine_P(y_x),2,incremental,RebalanceStream,87.60245901639345
10000,sine_P(y_x),2,incremental,RebalanceStream,91.6941833883668
15000,sine_P(y_x),2,incremental,RebalanceStream,93.35616438356166
20000,sine_P(y_x),2,incremental,RebalanceStream,94.07236335642803
25000,sine_P(y_x),2,incremental,RebalanceStream,94.48169159360496
30000,sine_P(y_x),2,incremental,RebalanceStream,94.89629055856787
35000,sine_P(y_x),2,incremental,RebalanceStream,95.23809523809523
40000,sine_P(y_x),2,incremental,RebalanceStream,95.28728211749514
45000,sine_P(y_x),2,incremental,RebalanceStream,93.15462494247583
50000,sine_P(y_x),2,incremental,RebalanceStream,45.105074320861085
55000,sine_P(y_x),2,incremental,RebalanceStream,30.355363666555963
60000,sine_P(y_x),2,incremental,RebalanceStream,57.08687132593077
65000,sine_P(y_x),2,incremental,RebalanceStream,71.70154686078253
70000,sine_P(y_x),2,incremental,RebalanceStream,80.38167938931296
75000,sine_P(y_x),2,incremental,RebalanceStream,84.78169898172688
80000,sine_P(y_x),2,incremental,RebalanceStream,87.3912564695518
85000,sine_P(y_x),2,incremental,RebalanceStream,89.12114877760611
90000,sine_P(y_x),2,incremental,RebalanceStream,90.4721428019473
95000,sine_P(y_x),2,incremental,RebalanceStream,91.57577785212446
100000,sine_P(y_x),2,incremental,RebalanceStream,92.38061381680292
5000,sine_P(y_x),2,sudden,improved_OOB,93.70892018779342
10000,sine_P(y_x),2,sudden,improved_OOB,95.53592742898068
15000,sine_P(y_x),2,sudden,improved_OOB,96.40942323314378
20000,sine_P(y_x),2,sudden,improved_OOB,96.86197597450357
25000,sine_P(y_x),2,sudden,improved_OOB,97.24970320538185
30000,sine_P(y_x),2,sudden,improved_OOB,97.52943127176255
35000,sine_P(y_x),2,sudden,improved_OOB,97.7314880867456
40000,sine_P(y_x),2,sudden,improved_OOB,97.91575389622584
45000,sine_P(y_x),2,sudden,improved_OOB,98.05490719128599
50000,sine_P(y_x),2,sudden,improved_OOB,98.11945238453438
55000,sine_P(y_x),2,sudden,improved_OOB,84.67670504871568
60000,sine_P(y_x),2,sudden,improved_OOB,90.91755938518862
65000,sine_P(y_x),2,sudden,improved_OOB,92.9897567221511
70000,sine_P(y_x),2,sudden,improved_OOB,94.29021699599949
75000,sine_P(y_x),2,sudden,improved_OOB,95.07650058846606
80000,sine_P(y_x),2,sudden,improved_OOB,95.66721581548599
85000,sine_P(y_x),2,sudden,improved_OOB,96.11864045980273
90000,sine_P(y_x),2,sudden,improved_OOB,96.45328180514868
95000,sine_P(y_x),2,sudden,improved_OOB,96.71595503128981
100000,sine_P(y_x),2,sudden,improved_OOB,96.99060187962405
5000,sine_P(y_x),2,sudden,WEOB1,92.42843951985228
10000,sine_P(y_x),2,sudden,WEOB1,94.51118963486455
15000,sine_P(y_x),2,sudden,WEOB1,95.6256030878096
20000,sine_P(y_x),2,sudden,WEOB1,96.16504854368931
25000,sine_P(y_x),2,sudden,WEOB1,96.56253060425033
30000,sine_P(y_x),2,sudden,WEOB1,96.92787908657795
35000,sine_P(y_x),2,sudden,WEOB1,97.18409508985427
40000,sine_P(y_x),2,sudden,WEOB1,97.39864655118892
45000,sine_P(y_x),2,sudden,WEOB1,97.60591350397176
50000,sine_P(y_x),2,sudden,WEOB1,97.73926899711184
55000,sine_P(y_x),2,sudden,WEOB1,83.27526132404181
60000,sine_P(y_x),2,sudden,WEOB1,89.77246609974718
65000,sine_P(y_x),2,sudden,WEOB1,92.42472266244057
70000,sine_P(y_x),2,sudden,WEOB1,93.90405194180595
75000,sine_P(y_x),2,sudden,WEOB1,94.77372262773723
80000,sine_P(y_x),2,sudden,WEOB1,95.41179357160385
85000,sine_P(y_x),2,sudden,WEOB1,95.89678510998309
90000,sine_P(y_x),2,sudden,WEOB1,96.25774473358116
95000,sine_P(y_x),2,sudden,WEOB1,96.5540019817241
100000,sine_P(y_x),2,sudden,WEOB1,96.83320904797415
5000,sine_P(y_x),2,sudden,OOB,93.83177570093459
10000,sine_P(y_x),2,sudden,OOB,95.46210501306724
15000,sine_P(y_x),2,sudden,OOB,96.44128113879003
20000,sine_P(y_x),2,sudden,OOB,96.94898706370513
25000,sine_P(y_x),2,sudden,OOB,97.26377952755907
30000,sine_P(y_x),2,sudden,OOB,97.56660892518356
35000,sine_P(y_x),2,sudden,OOB,97.7780932774899
40000,sine_P(y_x),2,sudden,OOB,97.9147214441332
45000,sine_P(y_x),2,sudden,OOB,98.02686121704527
50000,sine_P(y_x),2,sudden,OOB,98.12958252281909
55000,sine_P(y_x),2,sudden,OOB,86.74911660777387
60000,sine_P(y_x),2,sudden,OOB,91.84807781380267
65000,sine_P(y_x),2,sudden,OOB,93.70918936136329
70000,sine_P(y_x),2,sudden,OOB,94.93120926864593
75000,sine_P(y_x),2,sudden,OOB,95.6564177647633
80000,sine_P(y_x),2,sudden,OOB,96.14627746802229
85000,sine_P(y_x),2,sudden,OOB,96.50300247262453
90000,sine_P(y_x),2,sudden,OOB,96.83387136826421
95000,sine_P(y_x),2,sudden,OOB,97.09337598588056
100000,sine_P(y_x),2,sudden,OOB,97.34574971365967
5000,sine_P(y_x),2,sudden,ESOS_ELM,0.0
10000,sine_P(y_x),2,sudden,ESOS_ELM,0.0
15000,sine_P(y_x),2,sudden,ESOS_ELM,47.41377724093621
20000,sine_P(y_x),2,sudden,ESOS_ELM,63.49307546211757
25000,sine_P(y_x),2,sudden,ESOS_ELM,70.88473461115628
30000,sine_P(y_x),2,sudden,ESOS_ELM,75.33767220206471
35000,sine_P(y_x),2,sudden,ESOS_ELM,78.45705786119358
40000,sine_P(y_x),2,sudden,ESOS_ELM,80.7335130597351
45000,sine_P(y_x),2,sudden,ESOS_ELM,82.43923726721042
50000,sine_P(y_x),2,sudden,ESOS_ELM,83.68658666283764
55000,sine_P(y_x),2,sudden,ESOS_ELM,52.35934149898496
60000,sine_P(y_x),2,sudden,ESOS_ELM,70.47871504874504
65000,sine_P(y_x),2,sudden,ESOS_ELM,77.19442221544345
70000,sine_P(y_x),2,sudden,ESOS_ELM,81.38048049029183
75000,sine_P(y_x),2,sudden,ESOS_ELM,83.93832170742621
80000,sine_P(y_x),2,sudden,ESOS_ELM,85.72007935213043
85000,sine_P(y_x),2,sudden,ESOS_ELM,86.94935258710983
90000,sine_P(y_x),2,sudden,ESOS_ELM,88.01789692743176
95000,sine_P(y_x),2,sudden,ESOS_ELM,88.96579846127953
100000,sine_P(y_x),2,sudden,ESOS_ELM,89.68532420002614
5000,sine_P(y_x),2,sudden,improved_UOB,88.9388489208633
10000,sine_P(y_x),2,sudden,improved_UOB,91.36939010356731
15000,sine_P(y_x),2,sudden,improved_UOB,93.1606381298373
20000,sine_P(y_x),2,sudden,improved_UOB,93.8692748091603
25000,sine_P(y_x),2,sudden,improved_UOB,94.18436989330003
30000,sine_P(y_x),2,sudden,improved_UOB,94.59263437827383
35000,sine_P(y_x),2,sudden,improved_UOB,94.96422865874838
40000,sine_P(y_x),2,sudden,improved_UOB,95.25144772935082
45000,sine_P(y_x),2,sudden,improved_UOB,95.52966675697644
50000,sine_P(y_x),2,sudden,improved_UOB,95.76968272620446
55000,sine_P(y_x),2,sudden,improved_UOB,60.29894276339773
60000,sine_P(y_x),2,sudden,improved_UOB,75.09767633148262
65000,sine_P(y_x),2,sudden,improved_UOB,81.24817731116944
70000,sine_P(y_x),2,sudden,improved_UOB,84.95893801327485
75000,sine_P(y_x),2,sudden,improved_UOB,87.1163389082889
80000,sine_P(y_x),2,sudden,improved_UOB,88.76273427171633
85000,sine_P(y_x),2,sudden,improved_UOB,89.98787225441313
90000,sine_P(y_x),2,sudden,improved_UOB,90.94043514445367
95000,sine_P(y_x),2,sudden,improved_UOB,91.74662072621256
100000,sine_P(y_x),2,sudden,improved_UOB,92.40962120120984
5000,sine_P(y_x),2,sudden,WEOB2,87.28246318607763
10000,sine_P(y_x),2,sudden,WEOB2,90.02510842273453
15000,sine_P(y_x),2,sudden,WEOB2,92.06149984311264
20000,sine_P(y_x),2,sudden,WEOB2,92.90368439758322
25000,sine_P(y_x),2,sudden,WEOB2,93.52586783972458
30000,sine_P(y_x),2,sudden,WEOB2,93.90732724066058
35000,sine_P(y_x),2,sudden,WEOB2,94.27860696517415
40000,sine_P(y_x),2,sudden,WEOB2,94.52494997877886
45000,sine_P(y_x),2,sudden,WEOB2,94.794697704494
50000,sine_P(y_x),2,sudden,WEOB2,95.02288886724456
55000,sine_P(y_x),2,sudden,WEOB2,0.9242515571629497
60000,sine_P(y_x),2,sudden,WEOB2,6.628976831836825
65000,sine_P(y_x),2,sudden,WEOB2,13.007996043195124
70000,sine_P(y_x),2,sudden,WEOB2,18.377795742387494
75000,sine_P(y_x),2,sudden,WEOB2,22.535855093994623
80000,sine_P(y_x),2,sudden,WEOB2,26.288557213930346
85000,sine_P(y_x),2,sudden,WEOB2,30.486602742181198
90000,sine_P(y_x),2,sudden,WEOB2,34.79179362177535
95000,sine_P(y_x),2,sudden,WEOB2,38.89424860853432
100000,sine_P(y_x),2,sudden,WEOB2,42.339069034071436
5000,sine_P(y_x),2,sudden,UOB,89.57771787960469
10000,sine_P(y_x),2,sudden,UOB,91.2519881845035
15000,sine_P(y_x),2,sudden,UOB,92.63813229571984
20000,sine_P(y_x),2,sudden,UOB,93.3427428840273
25000,sine_P(y_x),2,sudden,UOB,93.80161366872333
30000,sine_P(y_x),2,sudden,UOB,94.18512028038872
35000,sine_P(y_x),2,sudden,UOB,94.53946012775602
40000,sine_P(y_x),2,sudden,UOB,94.75461232364646
45000,sine_P(y_x),2,sudden,UOB,95.01045072083174
50000,sine_P(y_x),2,sudden,UOB,95.19752130131681
55000,sine_P(y_x),2,sudden,UOB,53.62711864406781
60000,sine_P(y_x),2,sudden,UOB,70.44518533045697
65000,sine_P(y_x),2,sudden,UOB,77.50981491867638
70000,sine_P(y_x),2,sudden,UOB,81.72230075024463
75000,sine_P(y_x),2,sudden,UOB,84.36551847224702
80000,sine_P(y_x),2,sudden,UOB,86.2382540163686
85000,sine_P(y_x),2,sudden,UOB,87.7190670707603
90000,sine_P(y_x),2,sudden,UOB,88.80353817504657
95000,sine_P(y_x),2,sudden,UOB,89.72467532467533
100000,sine_P(y_x),2,sudden,UOB,90.4750694477141
5000,sine_P(y_x),2,sudden,CSMOTE,90.12915129151293
10000,sine_P(y_x),2,sudden,CSMOTE,91.88687992582291
15000,sine_P(y_x),2,sudden,CSMOTE,92.85262492093612
20000,sine_P(y_x),2,sudden,CSMOTE,93.69024856596559
25000,sine_P(y_x),2,sudden,CSMOTE,94.26308672976629
30000,sine_P(y_x),2,sudden,CSMOTE,94.807723511277
35000,sine_P(y_x),2,sudden,CSMOTE,95.25675108437109
40000,sine_P(y_x),2,sudden,CSMOTE,95.56183919350872
45000,sine_P(y_x),2,sudden,CSMOTE,95.78987604434008
50000,sine_P(y_x),2,sudden,CSMOTE,95.97474348855565
55000,sine_P(y_x),2,sudden,CSMOTE,63.37169939065673
60000,sine_P(y_x),2,sudden,CSMOTE,70.42881009838503
65000,sine_P(y_x),2,sudden,CSMOTE,70.99062579174054
70000,sine_P(y_x),2,sudden,CSMOTE,72.31803566208713
75000,sine_P(y_x),2,sudden,CSMOTE,72.2608899663721
80000,sine_P(y_x),2,sudden,CSMOTE,74.30332261521971
85000,sine_P(y_x),2,sudden,CSMOTE,75.22946506869336
90000,sine_P(y_x),2,sudden,CSMOTE,76.13459341572333
95000,sine_P(y_x),2,sudden,CSMOTE,76.94594092513468
100000,sine_P(y_x),2,sudden,CSMOTE,77.20671801995199
5000,sine_P(y_x),2,sudden,RebalanceStream,87.60245901639345
10000,sine_P(y_x),2,sudden,RebalanceStream,91.6941833883668
15000,sine_P(y_x),2,sudden,RebalanceStream,93.35616438356166
20000,sine_P(y_x),2,sudden,RebalanceStream,94.07236335642803
25000,sine_P(y_x),2,sudden,RebalanceStream,94.49143800288839
30000,sine_P(y_x),2,sudden,RebalanceStream,94.93071692916773
35000,sine_P(y_x),2,sudden,RebalanceStream,95.2746603662138
40000,sine_P(y_x),2,sudden,RebalanceStream,95.56675714101073
45000,sine_P(y_x),2,sudden,RebalanceStream,95.84979105844639
50000,sine_P(y_x),2,sudden,RebalanceStream,96.02929042904292
55000,sine_P(y_x),2,sudden,RebalanceStream,79.94640464493078
60000,sine_P(y_x),2,sudden,RebalanceStream,87.34267394918072
65000,sine_P(y_x),2,sudden,RebalanceStream,90.0
70000,sine_P(y_x),2,sudden,RebalanceStream,91.62232396980572
75000,sine_P(y_x),2,sudden,RebalanceStream,92.48
80000,sine_P(y_x),2,sudden,RebalanceStream,93.22929775987917
85000,sine_P(y_x),2,sudden,RebalanceStream,93.89257868899799
90000,sine_P(y_x),2,sudden,RebalanceStream,94.40010135563158
95000,sine_P(y_x),2,sudden,RebalanceStream,94.76466288027892
100000,sine_P(y_x),2,sudden,RebalanceStream,95.09659753562191
5000,sine_P(x_y),4,incremental,improved_OOB,96.90470387521326
10000,sine_P(x_y),4,incremental,improved_OOB,97.66009852216747
15000,sine_P(x_y),4,incremental,improved_OOB,98.08663960904497
