instances,drift,unbalance,type,alg,Fscore_min
30000,sea_P(y),1,sudden,OOB,98.56636757937953
35000,sea_P(y),1,sudden,OOB,98.67106798326742
40000,sea_P(y),1,sudden,OOB,98.77441211638101
45000,sea_P(y),1,sudden,OOB,98.84435374753231
50000,sea_P(y),1,sudden,OOB,98.90048490411672
55000,sea_P(y),1,sudden,OOB,96.58536585365854
60000,sea_P(y),1,sudden,OOB,97.19350073855243
65000,sea_P(y),1,sudden,OOB,97.32054250744294
70000,sea_P(y),1,sudden,OOB,97.68483943241223
75000,sea_P(y),1,sudden,OOB,97.94105773112638
80000,sea_P(y),1,sudden,OOB,98.02331474911304
85000,sea_P(y),1,sudden,OOB,98.20830298616168
90000,sea_P(y),1,sudden,OOB,98.26823410441158
95000,sea_P(y),1,sudden,OOB,98.37053571428574
100000,sea_P(y),1,sudden,OOB,98.48164906988437
5000,sea_P(y),1,sudden,ESOS_ELM,0.0
10000,sea_P(y),1,sudden,ESOS_ELM,0.0
15000,sea_P(y),1,sudden,ESOS_ELM,49.11176696530866
20000,sea_P(y),1,sudden,ESOS_ELM,65.35155199202272
25000,sea_P(y),1,sudden,ESOS_ELM,73.44201118988738
30000,sea_P(y),1,sudden,ESOS_ELM,78.39608750300425
35000,sea_P(y),1,sudden,ESOS_ELM,81.60865766124184
40000,sea_P(y),1,sudden,ESOS_ELM,83.94339158982596
45000,sea_P(y),1,sudden,ESOS_ELM,85.6843425385481
50000,sea_P(y),1,sudden,ESOS_ELM,87.0670551069854
55000,sea_P(y),1,sudden,ESOS_ELM,84.89130658119194
60000,sea_P(y),1,sudden,ESOS_ELM,85.60546987885607
65000,sea_P(y),1,sudden,ESOS_ELM,85.83228228555323
70000,sea_P(y),1,sudden,ESOS_ELM,86.57779520270032
75000,sea_P(y),1,sudden,ESOS_ELM,86.53987337960807
80000,sea_P(y),1,sudden,ESOS_ELM,86.41917992415082
85000,sea_P(y),1,sudden,ESOS_ELM,86.67854490868383
90000,sea_P(y),1,sudden,ESOS_ELM,86.97960386749749
95000,sea_P(y),1,sudden,ESOS_ELM,87.22756255442484
100000,sea_P(y),1,sudden,ESOS_ELM,87.11389183965744
5000,sea_P(y),1,sudden,improved_UOB,96.4788732394366
10000,sea_P(y),1,sudden,improved_UOB,97.42227469500197
15000,sea_P(y),1,sudden,improved_UOB,97.91021161579536
20000,sea_P(y),1,sudden,improved_UOB,98.16973364416447
25000,sea_P(y),1,sudden,improved_UOB,98.32233441997298
30000,sea_P(y),1,sudden,improved_UOB,98.46835819908038
35000,sea_P(y),1,sudden,improved_UOB,98.58113679661064
40000,sea_P(y),1,sudden,improved_UOB,98.70052277819268
45000,sea_P(y),1,sudden,improved_UOB,98.76329787234043
50000,sea_P(y),1,sudden,improved_UOB,98.82352941176474
55000,sea_P(y),1,sudden,improved_UOB,95.82929194956353
60000,sea_P(y),1,sudden,improved_UOB,95.91439688715955
65000,sea_P(y),1,sudden,improved_UOB,95.89576547231273
70000,sea_P(y),1,sudden,improved_UOB,95.90243902439023
75000,sea_P(y),1,sudden,improved_UOB,95.68812758417013
80000,sea_P(y),1,sudden,improved_UOB,95.47095503774203
85000,sea_P(y),1,sudden,improved_UOB,95.33474277660324
90000,sea_P(y),1,sudden,improved_UOB,95.49792023489113
95000,sea_P(y),1,sudden,improved_UOB,95.61555075593951
100000,sea_P(y),1,sudden,improved_UOB,95.69108063417956
5000,sea_P(y),1,sudden,WEOB2,96.25146427176882
10000,sea_P(y),1,sudden,WEOB2,97.08394698085421
15000,sea_P(y),1,sudden,WEOB2,97.60431749374753
20000,sea_P(y),1,sudden,WEOB2,97.92481798821257
25000,sea_P(y),1,sudden,WEOB2,98.10227092266157
30000,sea_P(y),1,sudden,WEOB2,98.26532298034031
35000,sea_P(y),1,sudden,WEOB2,98.3837523079108
40000,sea_P(y),1,sudden,WEOB2,98.51273378432153
45000,sea_P(y),1,sudden,WEOB2,98.60040747630434
50000,sea_P(y),1,sudden,WEOB2,98.67702729627418
55000,sea_P(y),1,sudden,WEOB2,94.53499520613614
60000,sea_P(y),1,sudden,WEOB2,94.6205571565802
65000,sea_P(y),1,sudden,WEOB2,94.3251042000641
70000,sea_P(y),1,sudden,WEOB2,94.46849446849446
75000,sea_P(y),1,sudden,WEOB2,94.45848726424265
80000,sea_P(y),1,sudden,WEOB2,94.33901054339012
85000,sea_P(y),1,sudden,WEOB2,94.21763968231853
90000,sea_P(y),1,sudden,WEOB2,94.42091250151279
95000,sea_P(y),1,sudden,WEOB2,94.56138476332943
100000,sea_P(y),1,sudden,WEOB2,94.62137977484846
5000,sea_P(y),1,sudden,UOB,96.63668361360969
10000,sea_P(y),1,sudden,UOB,97.52928437838366
15000,sea_P(y),1,sudden,UOB,97.93685320677608
20000,sea_P(y),1,sudden,UOB,98.2483997419739
