instances,drift,unbalance,type,alg,Recall_min
90000,sea_P(y),1,sudden,WEOB2,99.87199180747567
95000,sea_P(y),1,sudden,WEOB2,99.88713318284427
100000,sea_P(y),1,sudden,WEOB2,99.89841527834211
5000,sea_P(y),1,sudden,UOB,97.90015847860538
10000,sea_P(y),1,sudden,UOB,98.72459147070548
15000,sea_P(y),1,sudden,UOB,99.07975460122701
20000,sea_P(y),1,sudden,UOB,99.27797833935018
25000,sea_P(y),1,sudden,UOB,99.38926390228222
30000,sea_P(y),1,sudden,UOB,99.4853629193958
35000,sea_P(y),1,sudden,UOB,99.5406786472986
40000,sea_P(y),1,sudden,UOB,99.59811112227467
45000,sea_P(y),1,sudden,UOB,99.62886782328744
50000,sea_P(y),1,sudden,UOB,99.6541601319017
55000,sea_P(y),1,sudden,UOB,99.79838709677418
60000,sea_P(y),1,sudden,UOB,99.89878542510121
65000,sea_P(y),1,sudden,UOB,99.7964721845319
70000,sea_P(y),1,sudden,UOB,99.69512195121952
75000,sea_P(y),1,sudden,UOB,99.71228935470614
80000,sea_P(y),1,sudden,UOB,99.62225274725276
85000,sea_P(y),1,sudden,UOB,99.58641063515509
90000,sea_P(y),1,sudden,UOB,99.51356886840757
95000,sea_P(y),1,sudden,UOB,99.48081264108352
100000,sea_P(y),1,sudden,UOB,99.4920763917107
5000,sea_P(y),1,sudden,CSMOTE,97.66244057052295
10000,sea_P(y),1,sudden,CSMOTE,98.34595456357114
15000,sea_P(y),1,sudden,CSMOTE,98.62630034675917
20000,sea_P(y),1,sudden,CSMOTE,98.8868832731649
25000,sea_P(y),1,sudden,CSMOTE,99.02764384442303
30000,sea_P(y),1,sudden,CSMOTE,99.0509290201845
35000,sea_P(y),1,sudden,CSMOTE,99.06987426077968
40000,sea_P(y),1,sudden,CSMOTE,99.12086807997589
45000,sea_P(y),1,sudden,CSMOTE,99.16383473439456
50000,sea_P(y),1,sudden,CSMOTE,99.19974263079578
55000,sea_P(y),1,sudden,CSMOTE,99.39516129032258
60000,sea_P(y),1,sudden,CSMOTE,99.39271255060727
65000,sea_P(y),1,sudden,CSMOTE,99.45725915875168
70000,sea_P(y),1,sudden,CSMOTE,99.49186991869921
75000,sea_P(y),1,sudden,CSMOTE,99.58898479243729
80000,sea_P(y),1,sudden,CSMOTE,99.48489010989012
85000,sea_P(y),1,sudden,CSMOTE,99.43870014771049
90000,sea_P(y),1,sudden,CSMOTE,99.41116231438811
95000,sea_P(y),1,sudden,CSMOTE,99.39051918735892
100000,sea_P(y),1,sudden,CSMOTE,99.39049167005281
5000,sea_P(y),1,sudden,RebalanceStream,97.70206022187004
10000,sea_P(y),1,sudden,RebalanceStream,98.10681546432842
15000,sea_P(y),1,sudden,RebalanceStream,98.39957321952521
20000,sea_P(y),1,sudden,RebalanceStream,98.676293622142
25000,sea_P(y),1,sudden,RebalanceStream,98.85085181613627
30000,sea_P(y),1,sudden,RebalanceStream,98.91725705119634
35000,sea_P(y),1,sudden,RebalanceStream,98.97800999023944
40000,sea_P(y),1,sudden,RebalanceStream,99.03546669345927
45000,sea_P(y),1,sudden,RebalanceStream,99.07887676623146
50000,sea_P(y),1,sudden,RebalanceStream,99.12333614830901
55000,sea_P(y),1,sudden,RebalanceStream,62.701612903225815
60000,sea_P(y),1,sudden,RebalanceStream,75.60728744939273
65000,sea_P(y),1,sudden,RebalanceStream,79.85074626865672
70000,sea_P(y),1,sudden,RebalanceStream,83.73983739837398
75000,sea_P(y),1,sudden,RebalanceStream,85.4911631730374
80000,sea_P(y),1,sudden,RebalanceStream,86.43543956043958
85000,sea_P(y),1,sudden,RebalanceStream,87.35598227474152
90000,sea_P(y),1,sudden,RebalanceStream,88.04403481822838
95000,sea_P(y),1,sudden,RebalanceStream,88.44243792325055
100000,sea_P(y),1,sudden,RebalanceStream,88.94758228362456
5000,sea_P(y),1,incremental,improved_OOB,97.97939778129954
10000,sea_P(y),1,incremental,improved_OOB,98.74451972897567
15000,sea_P(y),1,incremental,improved_OOB,99.11976527073887
20000,sea_P(y),1,incremental,improved_OOB,99.31809065383072
25000,sea_P(y),1,incremental,improved_OOB,99.43747990999678
30000,sea_P(y),1,incremental,improved_OOB,99.50541371474402
35000,sea_P(y),1,incremental,improved_OOB,99.5578524260695
40000,sea_P(y),1,incremental,improved_OOB,99.60291530535311
45000,sea_P(y),1,incremental,improved_OOB,99.64473625039349
50000,sea_P(y),1,incremental,improved_OOB,100.0
55000,sea_P(y),1,incremental,improved_OOB,99.89963198394113
60000,sea_P(y),1,incremental,improved_OOB,100.0
65000,sea_P(y),1,incremental,improved_OOB,100.0
70000,sea_P(y),1,incremental,improved_OOB,100.0
75000,sea_P(y),1,incremental,improved_OOB,100.0
80000,sea_P(y),1,incremental,improved_OOB,99.88239905919248
85000,sea_P(y),1,incremental,improved_OOB,99.83465608465609
90000,sea_P(y),1,incremental,improved_OOB,99.80253878702398
95000,sea_P(y),1,incremental,improved_OOB,99.80339149668224
100000,sea_P(y),1,incremental,improved_OOB,99.80276134122288
5000,sea_P(y),1,incremental,WEOB1,98.01901743264659
10000,sea_P(y),1,incremental,WEOB1,98.80430450378638
15000,sea_P(y),1,incremental,WEOB1,99.14643905041343
20000,sea_P(y),1,incremental,WEOB1,99.34817488969112
25000,sea_P(y),1,incremental,WEOB1,99.4696239151398
30000,sea_P(y),1,incremental,WEOB1,99.55219890388985
35000,sea_P(y),1,incremental,WEOB1,99.59804766006314
40000,sea_P(y),1,incremental,WEOB1,99.64815280221161
45000,sea_P(y),1,incremental,WEOB1,99.6852093357917
50000,sea_P(y),1,incremental,WEOB1,100.0
55000,sea_P(y),1,incremental,WEOB1,99.83271997323519
60000,sea_P(y),1,incremental,WEOB1,100.0
65000,sea_P(y),1,incremental,WEOB1,100.0
70000,sea_P(y),1,incremental,WEOB1,100.0
75000,sea_P(y),1,incremental,WEOB1,100.0
80000,sea_P(y),1,incremental,WEOB1,99.96079968639751
85000,sea_P(y),1,incremental,WEOB1,99.93386243386244
90000,sea_P(y),1,incremental,WEOB1,99.91537376586743
95000,sea_P(y),1,incremental,WEOB1,99.90169574834111
100000,sea_P(y),1,incremental,WEOB1,99.91233837387685
5000,sea_P(y),1,incremental,OOB,97.90015847860538
10000,sea_P(y),1,incremental,OOB,98.72459147070548
15000,sea_P(y),1,incremental,OOB,99.07975460122701
20000,sea_P(y),1,incremental,OOB,99.27797833935018
25000,sea_P(y),1,incremental,OOB,99.38926390228222
30000,sea_P(y),1,incremental,OOB,99.471995722497
35000,sea_P(y),1,incremental,OOB,99.52339936836061
40000,sea_P(y),1,incremental,OOB,99.56773058557427
45000,sea_P(y),1,incremental,OOB,99.60426316499526
50000,sea_P(y),1,incremental,OOB,99.94807892004154
55000,sea_P(y),1,incremental,OOB,99.79926396788223
60000,sea_P(y),1,incremental,OOB,99.67159277504105
65000,sea_P(y),1,incremental,OOB,99.6402877697842
70000,sea_P(y),1,incremental,OOB,99.6268656716418
75000,sea_P(y),1,incremental,OOB,99.66216216216218
80000,sea_P(y),1,incremental,OOB,99.52959623676988
85000,sea_P(y),1,incremental,OOB,99.57010582010582
90000,sea_P(y),1,incremental,OOB,99.52045133991535
95000,sea_P(y),1,incremental,OOB,99.50847874170559
100000,sea_P(y),1,incremental,OOB,99.5397764628534
5000,sea_P(y),1,incremental,ESOS_ELM,0.0
10000,sea_P(y),1,incremental,ESOS_ELM,0.0
15000,sea_P(y),1,incremental,ESOS_ELM,32.97546012269939
20000,sea_P(y),1,incremental,ESOS_ELM,49.515643802647425
25000,sea_P(y),1,incremental,ESOS_ELM,59.47364191578271
30000,sea_P(y),1,incremental,ESOS_ELM,66.2324555540703
35000,sea_P(y),1,incremental,ESOS_ELM,70.94114269308068
40000,sea_P(y),1,incremental,ESOS_ELM,74.51671274189495
45000,sea_P(y),1,incremental,ESOS_ELM,77.14844628322166
50000,sea_P(y),1,incremental,ESOS_ELM,99.71443406022844
55000,sea_P(y),1,incremental,ESOS_ELM,99.48812311809971
60000,sea_P(y),1,incremental,ESOS_ELM,99.45812807881774
65000,sea_P(y),1,incremental,ESOS_ELM,98.98381294964028
70000,sea_P(y),1,incremental,ESOS_ELM,99.11691542288557
75000,sea_P(y),1,incremental,ESOS_ELM,98.96718146718146
80000,sea_P(y),1,incremental,ESOS_ELM,98.99255194041554
85000,sea_P(y),1,incremental,ESOS_ELM,98.95833333333334
90000,sea_P(y),1,incremental,ESOS_ELM,98.99576868829338
95000,sea_P(y),1,incremental,ESOS_ELM,99.00466945195379
100000,sea_P(y),1,incremental,ESOS_ELM,98.9699758930528
5000,sea_P(y),1,incremental,improved_UOB,97.70206022187004
10000,sea_P(y),1,incremental,improved_UOB,98.66480669589477
15000,sea_P(y),1,incremental,improved_UOB,99.03974393171511
20000,sea_P(y),1,incremental,improved_UOB,99.23786602486963
25000,sea_P(y),1,incremental,improved_UOB,99.3731918997107
30000,sea_P(y),1,incremental,improved_UOB,99.4586285255982
35000,sea_P(y),1,incremental,improved_UOB,99.5176571920758
